Subject,Distance,Context,ClassRef,RT,Vis
1,4,1,0,0.84393,1
1,5,1,1,1.2257,1
1,6,1,1,0.73168,1
1,5,0,1,1.0435,1
1,3,0,0,0.79733,1
1,2,1,0,0.73125,1
1,4,0,0,1.1651,1
1,2,0,0,0.87216,1
1,1,0,0,0.90736,1
1,1,1,0,0.71326,1
1,3,0,0,1.2338,1
1,2,1,0,0.68239,1
1,5,1,0,0.84841,1
1,4,1,0,0.74344,1
1,6,1,1,0.68053,1
1,4,0,0,1.3397,1
1,1,0,0,0.91216,1
1,3,1,0,0.79405,1
1,2,0,0,0.65668,1
1,6,0,1,0.71181,1
1,3,1,0,0.71647,1
1,6,0,1,0.84026,1
1,6,1,1,0.8401,1
1,1,1,0,0.74138,1
1,5,1,0,2.1359,1
1,2,1,0,0.76431,1
1,4,0,0,0.91482,1
1,4,1,0,0.77813,1
1,3,0,0,0.8166,1
1,2,0,0,0.67858,1
1,5,0,0,0.79787,1
1,2,1,0,0.67973,1
1,6,0,1,1.0483,1
1,5,1,1,1.2813,1
1,2,0,0,0.59728,1
1,4,1,0,0.8678,1
1,5,0,0,0.85781,1
1,4,0,0,1.0226,1
1,1,1,0,0.81785,1
1,1,0,0,0.85908,1
1,3,1,0,0.80493,1
1,3,0,0,0.69108,1
1,2,1,0,0.98425,1
1,1,0,0,0.91991,1
1,6,1,1,0.8064,1
1,5,0,0,0.93778,1
1,1,1,0,0.73617,1
1,3,1,0,0.75621,1
1,4,0,0,1.1994,1
1,5,1,1,2.1692,1
1,4,1,0,0.74975,1
1,2,0,0,0.68497,1
1,6,0,1,0.68563,1
1,3,0,0,0.73945,1
1,4,1,0,0.96726,1
1,5,1,0,1.2126,1
1,6,0,1,0.86769,1
1,2,1,0,0.73433,1
1,1,1,0,0.65148,1
1,2,0,0,0.74416,1
1,1,0,0,0.59925,1
1,6,1,1,0.75718,1
1,4,0,0,1.7071,1
1,3,0,0,0.6843,1
1,3,1,0,0.69483,1
1,5,0,0,0.91942,1
1,4,1,0,1.9293,1
1,3,0,0,0.68645,1
1,4,0,0,0.90494,1
1,6,1,1,0.77886,1
1,3,1,0,0.92816,1
1,6,0,1,0.75928,1
1,5,0,0,0.90392,1
1,2,1,0,0.92385,1
1,1,0,0,0.66629,1
1,1,1,0,0.62164,1
1,2,0,0,0.56142,1
1,5,1,0,0.8473,1
1,2,0,0,0.59984,1
1,4,0,0,0.66712,1
1,1,0,0,0.60901,1
1,1,1,0,0.65104,1
1,6,1,1,0.7708,1
1,2,1,0,0.6141,1
1,5,0,1,0.83539,1
1,6,0,1,1.0226,1
1,4,1,0,1.1165,1
1,3,1,0,0.69839,1
1,3,0,0,0.73296,1
1,5,1,0,1.9221,1
1,4,0,0,1.5439,1
1,6,1,1,0.62103,1
1,6,0,0,1.3503,1
1,4,1,0,0.68878,1
1,1,1,0,0.7088,1
1,2,0,0,0.67404,1
1,1,0,0,0.63786,1
1,5,0,1,1.1384,1
1,3,1,0,0.58575,1
1,3,0,0,0.61018,1
1,2,1,0,0.69694,1
1,5,1,1,1.2247,1
1,5,0,1,0.76377,1
1,1,1,0,0.573,1
1,3,1,0,1.3717,1
1,6,1,1,0.63945,1
1,3,0,0,0.69415,1
1,4,1,0,1.5753,1
1,4,0,0,0.62383,1
1,2,0,0,0.61559,1
1,2,1,0,0.56205,1
1,6,0,1,0.65325,1
1,5,1,1,0.78386,1
1,2,0,0,0.61378,1
1,1,1,0,1.0063,1
1,2,1,0,0.74486,1
1,1,0,0,0.58012,1
1,6,1,1,0.76014,1
1,4,0,1,1.6407,1
1,4,1,0,1.0656,1
1,6,0,1,0.76027,1
1,3,0,0,0.80217,1
1,5,1,1,0.75073,1
1,3,1,0,0.82185,1
1,2,0,0,0.98311,1
1,1,1,0,0.62982,1
1,1,0,0,0.5883,1
1,5,1,1,0.68958,1
1,6,1,1,0.68812,1
1,2,1,0,0.56272,1
1,3,0,0,0.73864,1
1,6,0,1,0.72643,1
1,4,0,0,0.78906,1
1,4,1,0,0.84299,1
1,5,0,1,0.78675,1
1,3,1,0,0.79606,1
1,6,0,1,0.7579,1
1,2,0,0,0.64443,1
1,5,0,1,0.68314,1
1,3,1,0,0.93835,1
1,2,1,0,0.89687,1
1,4,0,0,0.96942,1
1,3,0,0,0.87988,1
1,6,1,1,0.88843,1
1,1,0,0,0.6397,1
1,5,1,1,0.69688,1
1,4,1,0,0.73946,1
1,1,1,0,0.70003,1
1,6,0,1,0.67941,1
1,2,0,0,0.63995,1
1,3,1,0,0.73449,1
1,2,1,0,0.74765,1
1,6,1,1,0.64562,1
1,4,0,0,0.60083,1
1,4,1,0,0.81536,1
1,5,0,1,1.024,1
1,1,0,0,0.56982,1
1,1,1,0,0.66252,1
1,5,1,1,0.7617,1
1,3,0,0,0.64152,1
1,3,1,0,0.9482,1
1,2,0,0,0.68651,1
1,6,1,1,0.65781,1
1,5,0,1,0.81828,1
1,2,1,0,0.54364,1
1,4,0,0,0.6989,1
1,5,1,1,1.1868,1
1,3,0,0,0.69587,1
1,4,1,0,0.82243,1
1,1,1,0,0.61978,1
1,1,0,0,0.65768,1
1,1,1,0,0.54212,1
1,3,0,0,0.76872,1
1,3,1,0,0.53927,1
1,5,0,1,1.0213,1
1,5,1,1,0.7764,1
1,2,1,0,0.58963,1
1,2,0,0,0.73083,1
1,4,1,0,1.4701,1
1,1,0,0,1.6954,1
1,6,1,1,0.86719,1
1,6,0,1,0.69503,1
1,4,0,0,1.5623,1
1,3,1,0,0.6429,1
1,4,0,1,1.4488,1
1,1,1,0,0.66057,1
1,1,0,0,0.64927,1
1,5,0,1,0.7357,1
1,5,1,1,0.75225,1
1,4,1,0,0.78165,1
1,2,0,0,0.72142,1
1,6,1,1,0.8594,1
1,3,0,0,0.70201,1
1,2,1,0,0.61849,1
1,6,0,1,0.7425,1
1,2,1,0,0.60831,1
1,5,0,1,0.68362,1
1,6,1,1,0.71024,1
1,5,1,1,0.85478,1
1,6,0,1,0.8413,1
1,3,1,0,0.62637,1
1,3,0,0,0.70237,1
1,2,0,0,1.0028,1
1,4,0,0,1.3234,1
1,4,1,0,1.1687,1
1,1,0,0,0.72047,1
1,1,1,0,0.62515,1
1,1,0,0,0.56367,1
1,3,0,0,0.53772,1
1,2,1,0,0.58155,1
1,5,1,1,0.72956,1
1,5,0,1,0.77929,1
1,1,1,0,0.53532,1
1,4,0,0,0.8912,1
1,3,1,0,0.70641,1
1,6,1,1,0.65357,1
1,6,0,1,1.1249,1
1,2,0,0,0.65666,1
1,4,1,0,0.92999,1
1,5,0,1,0.68712,1
1,3,1,0,0.60918,1
1,2,0,0,0.6096,1
1,3,0,0,0.65885,1
1,4,1,0,0.87335,1
1,4,0,0,1.712,1
1,6,1,1,0.67124,1
1,6,0,1,0.71573,1
1,2,1,0,0.65632,1
1,1,0,0,0.70103,1
1,1,1,0,0.61029,1
1,5,1,1,0.69415,1
1,5,0,1,0.6946,1
1,5,1,1,0.77251,1
1,3,1,0,0.71379,1
1,4,1,0,0.84575,1
1,3,0,0,0.65965,1
1,4,0,0,0.71759,1
1,6,1,1,0.68201,1
1,2,1,0,0.64601,1
1,1,0,0,0.63726,1
1,6,0,1,0.64515,1
1,2,0,0,0.57102,1
1,1,1,0,0.56097,1
1,3,0,0,0.52942,1
1,2,1,0,0.54794,1
1,5,0,1,1.0934,1
1,6,1,1,0.70579,1
1,4,0,0,1.0271,1
1,1,1,0,0.6809,1
1,2,0,0,0.48677,1
1,1,0,0,0.49146,1
1,6,0,1,0.70662,1
1,4,1,0,1.0253,1
1,5,1,1,1.0124,1
1,3,1,0,0.61634,1
1,3,0,0,0.75692,1
1,1,0,0,0.53949,1
1,4,1,0,0.61474,1
1,6,0,1,0.63986,1
1,5,1,0,1.2005,1
1,4,0,0,1.4716,1
1,6,1,1,0.6842,1
1,3,1,0,0.51407,1
1,2,1,0,1.1706,1
1,5,0,1,0.62331,1
1,2,0,0,0.55312,1
1,1,1,0,0.72048,1
1,5,0,1,0.60035,1
1,1,1,0,1.1456,1
1,2,0,0,0.55541,1
1,3,1,0,0.53863,1
1,2,1,0,0.53587,1
1,3,0,0,0.66056,1
1,4,0,0,0.76646,1
1,6,0,1,0.76969,1
1,5,1,1,1.0296,1
1,6,1,1,0.69946,1
1,1,0,0,0.65058,1
1,4,1,0,1.5045,1
1,5,0,1,1.0756,1
1,2,0,0,0.58355,1
1,3,0,0,0.68355,1
1,5,1,1,0.74336,1
1,4,0,0,0.78859,1
1,3,1,0,0.9365,1
