Subject,Distance,Context,Resp13,RT,Vis
1,6,0,1,0.56273,1
1,4,0,0,0.59656,1
1,5,1,1,0.8454,1
1,3,0,1,0.86125,1
1,1,1,1,0.67279,1
1,1,1,1,0.98021,1
1,3,0,0,0.97586,1
1,3,1,1,0.94534,1
1,6,1,0,1.3591,1
1,4,1,1,1.1969,1
1,5,0,1,0.83065,1
1,3,1,1,0.81549,1
1,4,1,1,1.1294,1
1,3,0,1,0.96934,1
1,2,1,1,1.0367,1
1,1,1,1,1.1683,1
1,4,1,1,1.0167,1
1,1,1,1,0.99256,1
1,4,0,1,0.66978,1
1,2,0,1,1.1279,1
1,6,1,1,0.7855,1
1,6,1,1,0.95916,1
1,4,0,1,0.91232,1
1,1,0,0,1.0538,1
1,6,1,1,0.99533,1
1,4,0,1,0.88543,1
1,2,0,1,1.0245,1
1,3,1,1,0.65771,1
1,1,1,1,0.78358,1
1,2,1,1,0.63299,1
1,5,0,1,0.58853,1
1,4,0,1,0.60276,1
1,3,1,1,0.57131,1
1,1,1,1,0.57699,1
1,6,1,1,0.65852,1
1,6,0,1,0.6305,1
1,1,0,1,0.64222,1
1,6,0,1,0.54567,1
1,1,1,0,1.0171,1
1,1,1,1,0.62528,1
1,3,1,1,0.51204,1
1,4,0,1,0.49379,1
1,5,1,1,0.52408,1
1,2,0,1,0.55926,1
1,6,0,1,0.42355,1
1,2,1,1,0.51707,1
1,5,1,1,0.82747,1
1,5,0,1,0.56283,1
1,4,1,1,0.74446,1
1,6,0,1,0.64272,1
1,1,1,1,0.55768,1
1,5,0,1,0.50539,1
1,1,1,1,0.62757,1
1,5,0,1,0.55077,1
1,6,1,1,0.48127,1
1,5,0,1,0.65101,1
1,6,0,1,0.52074,1
1,5,1,1,0.52215,1
1,5,1,1,0.52236,1
1,1,0,1,0.50803,1
1,3,1,1,0.56021,1
1,1,0,1,0.6941,1
1,6,1,1,0.50109,1
1,6,0,1,0.57294,1
1,3,0,1,0.51512,1
1,5,1,1,0.61118,1
1,5,0,1,0.56268,1
1,1,0,1,0.59431,1
1,3,1,1,0.66595,1
1,2,1,1,0.46371,1
1,4,1,1,0.57719,1
1,4,0,1,0.58359,1
1,5,0,1,0.56166,1
1,1,1,1,0.6874,1
1,6,0,1,0.74523,2
1,5,1,1,0.5623,1
1,3,1,1,0.77446,2
1,4,0,1,0.60519,1
1,3,0,1,0.70898,1
1,4,0,1,0.57863,1
1,6,1,1,0.58211,1
1,2,0,1,0.69157,1
1,4,1,1,0.64582,1
1,6,1,1,0.32786,1
1,4,1,1,0.57424,1
1,5,0,1,0.62997,1
1,5,0,1,0.65568,1
1,1,1,1,0.71152,2
1,6,1,1,0.61905,2
1,4,0,1,0.58831,1
1,3,0,1,0.61407,1
1,5,1,1,0.48411,1
1,3,0,1,0.56388,1
1,2,0,1,0.5478,1
1,3,1,1,0.57192,1
1,3,1,1,0.57932,2
1,2,1,1,0.54303,1
1,6,0,1,0.56287,1
1,2,1,1,0.5749,1
1,2,1,1,1.0629,1
1,4,0,1,0.56592,1
1,6,1,1,0.58372,1
1,4,1,1,0.81764,1
1,1,1,1,0.50973,1
1,3,0,1,0.75932,1
1,6,0,1,0.65492,1
1,2,1,1,0.54873,1
1,1,0,1,0.53059,1
1,3,0,1,0.55054,1
1,3,0,1,0.5292,1
1,6,1,1,0.6363,1
1,1,1,1,0.58196,1
1,3,0,1,0.56203,1
1,3,1,1,0.48585,1
1,3,0,1,0.57621,1
1,4,1,1,0.54346,1
1,6,1,1,0.50384,2
1,3,1,1,0.84156,1
1,1,0,1,0.5426,1
1,1,0,1,0.50958,1
1,3,1,1,0.69442,1
1,6,1,1,0.5695,1
1,3,1,1,0.5812,1
1,2,0,0,1.2802,1
1,2,0,1,0.61954,1
1,1,1,1,0.64529,1
1,4,0,1,0.65941,1
1,6,0,1,0.56686,1
1,3,0,1,0.67467,1
1,3,1,1,0.91251,1
1,1,0,1,1.0822,1
1,3,0,1,0.62808,1
1,5,1,1,0.59169,1
1,6,0,1,0.54554,1
1,2,0,1,0.5624,1
1,1,1,1,0.54108,1
1,4,1,0,0.82076,1
1,5,0,1,0.63638,1
1,6,0,1,0.54012,1
1,6,1,1,0.47968,1
1,2,1,1,0.66924,1
1,2,1,1,0.55664,1
1,2,0,1,0.54241,1
1,4,1,1,0.5164,1
1,1,1,1,1.0056,1
1,4,0,1,0.58105,1
1,1,1,1,0.57498,1
1,6,0,1,0.81733,1
1,4,0,1,0.60781,1
1,5,0,1,0.54072,1
1,6,1,1,0.51516,1
1,4,0,1,0.52068,1
1,1,0,1,0.63856,1
1,5,0,1,0.77238,1
1,1,0,1,0.59364,1
1,3,0,1,0.63164,1
1,2,1,1,0.93597,1
1,1,0,1,0.96885,1
1,5,1,0,0.89265,1
1,3,0,1,0.60562,1
1,1,0,1,0.64975,1
1,2,1,0,0.49518,1
1,2,0,1,0.50338,1
1,6,0,1,0.5539,1
1,3,1,1,0.78151,1
1,2,0,1,0.70249,1
1,3,0,1,0.86014,1
1,2,1,1,0.64234,1
1,1,0,1,1.2556,1
1,5,0,1,0.54693,1
1,1,0,1,0.58147,1
1,1,1,1,0.48664,1
1,3,0,1,0.5264,1
1,3,1,1,0.45838,1
1,5,1,1,0.77845,1
1,1,1,1,0.69041,1
1,2,0,1,0.78597,1
1,6,1,0,0.46941,1
1,6,0,0,0.8695,1
1,5,1,1,0.63489,1
1,6,1,1,0.58308,1
1,4,0,1,0.59947,1
1,4,0,1,0.62889,1
1,5,0,1,0.52672,1
1,5,1,0,0.71122,1
1,6,0,1,0.94499,1
1,2,1,1,0.67523,1
1,6,1,0,0.78538,1
1,6,0,1,0.65125,1
1,1,0,0,0.72646,1
1,4,1,1,0.51048,1
1,3,1,1,0.87836,1
1,4,0,1,0.64209,1
1,4,1,0,0.79777,1
1,2,0,1,1.067,1
1,2,0,0,0.65642,1
1,6,1,0,0.85751,1
1,3,1,1,0.67336,1
1,4,0,0,0.54555,1
1,6,0,0,0.6629,1
1,3,1,0,0.5928,1
1,5,0,0,0.78124,1
1,5,0,1,0.67813,1
