Subject,Distance,Context,Style,Item,ClassRef,RT,Vis
1,2,1,0,11,1,0.48034,1
1,3,1,0,10,1,0.55582,1
1,3,1,0,7,1,0.59537,1
1,3,1,0,9,1,0.57138,1
1,2,0,0,8,1,0.58651,1
1,2,1,0,7,1,0.68049,1
1,3,0,0,10,1,0.54632,1
1,3,0,0,8,1,0.55284,1
1,2,0,0,12,1,0.56216,1
1,1,0,0,11,1,0.76813,1
1,3,0,0,7,1,0.55399,1
1,3,0,0,12,1,0.54385,1
1,1,0,0,9,1,0.96255,1
1,3,1,0,12,1,0.46853,1
1,3,1,0,11,1,0.64829,1
1,3,0,0,9,1,0.51753,1
1,1,0,0,8,1,0.54548,1
1,1,1,0,9,1,0.48866,1
1,2,1,0,8,1,0.73531,1
1,1,1,0,7,1,0.68982,1
1,1,1,0,11,1,1.1256,2
1,2,1,0,12,1,1.3683,1
1,1,1,0,10,1,1.0574,2
1,2,0,0,11,1,0.79455,2
1,2,1,0,9,1,0.63319,1
1,3,0,0,11,1,0.55918,2
1,2,1,0,10,1,0.46606,1
1,1,0,0,7,1,0.92078,2
1,1,1,0,12,1,0.6487,1
1,1,1,0,8,1,0.83249,2
1,1,1,0,7,1,0.74626,1
1,2,1,0,10,1,1.1974,1
1,3,1,0,9,1,0.51677,1
1,2,0,0,12,1,0.46457,1
1,3,1,0,8,1,0.4891,1
1,3,1,0,10,1,0.51443,1
1,2,0,0,9,1,0.85092,1
1,3,0,0,7,1,0.57737,1
1,1,0,0,12,1,0.98472,1
1,3,1,0,11,1,0.56322,1
1,2,1,0,12,1,0.58774,1
1,3,1,0,7,1,0.52641,1
1,1,1,0,9,1,0.59298,1
1,1,1,0,11,1,0.61011,1
1,1,1,0,10,1,0.54021,1
1,1,1,0,12,1,0.90543,1
1,2,1,0,9,1,0.58052,1
1,2,1,0,8,1,0.59933,1
1,1,0,0,9,1,0.49847,1
1,3,0,0,12,1,0.58768,1
1,1,0,0,7,1,0.75027,1
1,3,0,0,9,1,0.52952,1
1,3,0,0,10,1,0.80991,1
1,1,0,0,11,0,1.2493,1
1,2,0,0,7,1,0.62721,1
