Subject,Distance,Context,Condition,ClassRef,RT,Vis
1,2,1,0,0,0.74526,1
1,3,0,0,0,0.57895,1
1,4,0,0,1,0.84535,1
1,5,1,0,1,0.56855,1
1,1,0,0,0,0.64846,1
1,5,0,0,0,0.99454,1
1,1,1,0,0,0.60038,1
1,6,0,0,1,0.87275,1
1,3,1,0,0,0.74983,1
1,6,1,0,1,0.78118,1
1,4,1,0,1,0.9146,1
1,6,0,0,1,0.7346,1
1,4,1,0,1,0.87772,1
1,5,1,0,1,0.63276,1
1,6,1,0,1,0.70945,1
1,5,0,0,1,0.96874,1
1,3,0,0,1,1.3184,1
1,2,1,0,0,0.5659,1
1,4,0,0,0,0.54905,1
1,3,1,0,0,0.80482,1
1,1,0,0,0,0.74349,1
1,1,1,0,0,0.54714,1
1,3,0,0,0,1.116,1
1,2,1,0,0,0.54981,1
1,5,1,0,0,0.78494,1
1,5,0,0,0,0.60824,1
1,4,1,0,0,0.64214,1
1,6,1,0,1,0.87866,1
1,1,1,0,0,0.60436,1
1,4,0,0,0,1.2951,1
1,1,0,0,0,0.58078,1
1,3,1,0,0,0.65965,1
1,2,0,0,0,0.54083,1
1,6,0,0,0,1.4906,1
1,3,1,0,0,0.47117,1
1,6,0,0,1,0.59181,1
1,6,1,0,0,0.58875,1
1,1,1,0,0,0.60498,1
1,1,0,0,0,0.57545,1
1,5,1,0,0,0.71462,1
1,2,1,0,0,0.5006,1
1,4,0,0,0,0.96119,1
1,4,1,0,0,0.54259,1
1,3,0,0,0,0.48037,1
1,2,0,0,0,0.58359,1
1,5,0,0,0,0.80476,1
1,2,1,0,0,0.54735,1
1,6,0,0,1,0.66988,1
1,5,1,0,0,0.55633,1
1,2,0,0,0,0.58938,1
1,4,1,0,0,0.53832,1
1,5,0,0,0,0.76688,1
1,6,1,0,1,0.66462,1
1,4,0,0,1,1.5971,1
1,1,1,0,0,0.50136,1
1,1,0,0,0,0.6037,1
1,3,1,0,0,0.74163,1
1,3,0,0,0,0.83088,1
1,2,1,0,0,0.45424,1
1,1,0,0,0,0.58816,1
1,6,1,0,0,0.6243,1
1,5,0,0,0,0.61822,1
1,1,1,0,0,0.54895,1
1,3,1,0,0,0.51435,1
1,4,0,0,0,0.53556,1
1,5,1,0,1,0.85884,1
1,4,1,0,0,1.2059,1
1,2,0,0,0,0.56113,1
1,6,0,0,1,1.0424,1
1,4,1,0,0,0.55469,1
1,5,1,0,0,0.69013,1
1,6,0,0,1,0.88045,1
1,2,1,0,0,0.86973,1
1,1,1,0,0,0.6545,1
1,2,0,0,0,0.48622,1
1,1,0,0,0,0.55149,1
1,6,1,0,1,0.73935,1
1,4,0,0,0,0.63778,1
1,3,0,0,0,0.62043,1
1,3,1,0,1,1.0411,1
1,5,0,0,0,0.69684,1
1,4,1,0,0,0.8649,1
1,3,0,0,1,0.7441,1
1,4,0,0,0,1.0553,1
1,6,1,0,1,0.86182,1
1,3,1,0,1,0.7437,1
1,6,0,0,1,0.56024,1
1,5,0,0,1,0.77084,1
1,2,1,0,0,0.53735,1
1,1,0,0,0,0.78465,1
1,1,1,0,0,1.1879,1
1,2,0,0,1,0.91407,1
1,5,1,0,1,0.551,1
1,2,0,0,1,0.7809,1
1,4,0,0,1,0.68718,1
1,1,0,0,1,1.6793,1
1,1,1,0,0,0.63781,1
1,6,1,0,1,0.65906,1
1,2,1,0,0,0.79829,1
1,5,0,0,1,1.1848,1
1,6,0,0,1,0.55408,1
1,4,1,0,1,0.58398,1
1,3,1,0,1,0.54912,1
1,3,0,0,1,0.61388,1
1,5,1,0,1,0.51827,1
1,4,0,0,1,0.45534,1
1,6,1,0,1,0.4748,1
1,6,0,0,1,0.47069,1
1,4,1,0,1,0.82372,1
1,1,1,0,1,0.47995,1
1,2,0,0,0,0.51485,1
1,1,0,0,0,0.84088,1
1,5,0,0,1,0.65669,1
1,3,1,0,1,1.1833,1
1,3,0,0,0,1.2433,1
1,2,1,0,0,1.0892,1
1,5,1,0,1,0.59901,1
1,5,0,0,1,0.70543,1
1,1,1,0,0,0.63967,1
1,3,1,0,1,0.66388,1
1,6,1,0,1,0.51546,1
1,3,0,0,1,0.9669,1
1,4,1,0,1,0.5627,1
1,4,0,0,0,0.60278,1
1,1,0,0,1,1.5859,1
1,2,0,0,1,0.82447,1
1,2,1,0,0,0.51036,1
1,6,0,0,1,0.57606,1
1,5,1,0,1,0.60357,1
1,2,0,0,0,1.3178,1
1,1,1,0,0,0.52374,1
1,2,1,0,0,0.83493,1
1,1,0,0,0,0.53368,1
1,6,1,0,1,0.61429,1
1,4,0,0,1,0.65876,1
1,5,0,0,1,0.54285,1
1,4,1,0,1,0.71935,1
1,6,0,0,1,0.46719,1
1,3,0,0,0,0.59119,1
1,5,1,0,1,0.66702,1
1,3,1,0,1,1.1602,1
1,2,0,0,0,0.9186,1
1,1,1,0,0,0.74546,1
1,1,0,0,0,0.47835,1
1,5,1,0,1,0.76191,1
1,6,1,0,1,0.64504,1
1,2,1,0,1,1.279,1
1,3,0,0,1,0.69082,1
1,6,0,0,1,0.56196,1
1,4,0,0,1,0.53704,1
1,4,1,0,1,0.59654,1
1,5,0,0,1,0.52106,1
1,3,1,0,0,0.65571,1
1,6,0,0,1,0.59614,1
1,2,0,0,0,1.6425,1
1,5,0,0,0,0.43694,1
1,3,1,0,1,0.66325,1
1,2,1,0,0,0.8551,1
1,4,0,0,1,0.64169,1
1,3,0,0,1,0.96763,1
1,6,1,0,1,0.53341,1
1,1,0,0,0,0.69878,1
1,5,1,0,1,0.65523,1
1,4,1,0,1,0.70461,1
1,1,1,0,1,0.95637,1
1,6,0,0,1,0.60224,1
1,2,0,0,0,0.8151,1
1,3,1,0,1,0.606,1
1,2,1,0,0,0.47526,1
1,6,1,0,1,0.51194,1
1,4,0,0,1,0.81042,1
1,4,1,0,0,1.0382,1
1,5,0,0,1,0.5968,1
1,1,0,0,0,0.47398,1
1,1,1,0,0,0.68532,1
1,5,1,0,0,1.1604,1
1,3,0,0,0,0.93104,1
1,3,1,0,0,0.57759,1
1,6,0,0,1,0.73951,1
1,2,0,0,0,0.83803,1
1,6,1,0,1,0.61263,1
1,5,0,0,1,0.77658,1
1,2,1,0,0,0.57447,1
1,4,0,0,0,0.86393,1
1,5,1,0,1,0.81546,1
1,3,0,0,0,0.56886,1
1,4,1,0,1,1.4391,1
1,1,1,0,0,0.67595,1
1,1,0,0,0,1.3543,1
1,1,1,0,0,0.48407,1
1,3,0,0,0,0.59824,1
1,3,1,0,1,0.89474,1
1,5,0,0,1,0.57838,1
1,5,1,0,0,0.72116,1
1,2,1,0,0,0.64173,1
1,2,0,0,0,0.49758,1
1,4,1,0,0,0.71886,1
1,1,0,0,0,0.47084,1
1,6,1,0,1,0.67279,1
1,6,0,0,1,0.85812,1
1,4,0,0,0,0.54185,1
1,3,1,0,0,0.65456,1
1,4,0,0,0,0.85571,1
1,1,1,0,0,0.48883,1
1,1,0,0,0,0.56274,1
1,5,0,0,0,0.77679,1
1,5,1,0,0,0.54228,1
1,4,1,0,0,0.52972,1
1,2,0,0,0,0.50497,1
1,6,1,0,1,0.71019,1
1,3,0,0,0,0.52004,1
1,2,1,0,0,0.51803,1
1,6,0,0,1,0.6792,1
1,2,1,0,1,1.881,1
1,5,0,0,0,1.5797,1
1,6,1,0,1,0.95817,1
1,6,0,0,1,0.6811,1
1,3,1,0,1,0.6091,1
1,3,0,0,0,0.46892,1
1,2,0,0,0,0.53096,1
1,4,0,0,0,0.86326,1
1,4,1,0,0,0.97532,1
1,1,0,0,0,0.49162,1
1,1,1,0,0,0.51471,1
1,1,0,0,0,0.49968,1
1,3,0,0,0,0.49626,1
1,2,1,0,0,0.46618,1
1,5,1,0,0,0.49416,1
1,5,0,0,1,0.46527,1
1,1,1,0,0,0.56319,1
1,4,0,0,0,0.82327,1
1,3,1,0,0,0.45423,1
1,6,1,0,1,0.57422,1
1,6,0,0,1,0.58812,1
1,2,0,0,0,0.58482,1
1,4,1,0,0,1.082,1
1,5,0,0,1,0.67848,1
1,3,1,0,0,0.55404,1
1,2,0,0,0,0.74168,1
1,3,0,0,1,1.1875,1
1,4,1,0,1,0.62957,1
1,4,0,0,1,0.59276,1
1,6,1,0,1,0.53256,1
1,6,0,0,1,0.58832,1
1,2,1,0,0,0.4852,1
1,1,0,0,0,0.64729,1
1,1,1,0,0,0.5139,1
1,5,1,0,1,0.82481,1
1,5,0,0,1,0.56608,1
1,5,1,0,1,0.59585,1
1,3,1,0,1,0.66369,1
1,4,1,0,0,0.61063,1
1,3,0,0,0,0.43365,1
1,4,0,0,0,0.51388,1
1,6,1,0,1,0.77431,1
1,1,0,0,0,0.62329,1
1,6,0,0,1,0.56463,1
1,2,0,0,1,1.9717,1
1,1,1,0,0,0.6143,1
1,3,0,0,0,0.65394,1
1,2,1,0,0,0.5427,1
1,5,0,0,1,0.61867,1
1,6,1,0,1,0.64313,1
1,4,0,0,0,1.0823,1
1,1,1,0,0,0.58634,1
1,2,0,0,0,0.51219,1
1,1,0,0,0,0.55809,1
1,6,0,0,1,0.64444,1
1,4,1,0,1,1.1032,1
1,5,1,0,1,1.1017,1
1,3,1,0,0,0.59138,1
1,3,0,0,1,1.1336,1
1,1,0,0,0,1.6876,1
1,4,1,0,1,1.3126,1
1,6,0,0,1,0.59533,1
1,5,1,0,1,0.6432,1
1,4,0,0,0,0.80448,1
1,6,1,0,1,0.64885,1
1,3,1,0,0,0.57353,1
1,2,1,0,0,0.56816,1
1,5,0,0,0,0.90873,1
1,2,0,0,0,0.48378,1
1,1,1,0,0,0.52045,1
1,5,0,0,0,0.441,1
1,1,1,0,0,0.51968,1
1,2,0,0,0,0.44972,1
1,3,1,0,0,0.55812,1
1,2,1,0,0,0.40137,1
1,3,0,0,0,0.43195,1
1,4,0,0,0,0.55019,1
1,6,0,0,0,0.39259,1
1,5,1,0,0,0.5263,1
1,6,1,0,1,0.71956,1
1,1,0,0,0,0.56128,1
1,4,1,0,1,0.60397,1
1,5,0,0,1,0.59066,1
1,2,0,0,0,0.74289,1
1,3,0,0,0,0.57574,1
1,5,1,0,1,0.74167,1
1,4,0,0,0,0.81946,1
1,3,1,0,1,0.75053,1
1,6,0,0,0,0.64609,1
1,2,1,0,0,1.1731,1
1,4,1,0,1,0.77838,1
1,1,0,0,0,0.54635,1
1,1,1,0,0,0.6085,1
1,6,1,0,1,0.67745,1
1,5,0,0,1,0.65604,1
1,5,1,0,1,0.58858,1
1,1,0,0,1,0.60271,1
1,3,0,0,1,0.63251,1
1,2,0,0,0,0.96175,1
1,3,1,0,0,0.58327,1
1,4,0,0,0,0.56349,1
1,2,1,0,0,0.56811,1
1,6,0,0,1,0.5781,1
1,1,1,0,1,0.65808,1
1,4,1,0,1,0.64595,1
1,6,1,0,1,0.44929,1
1,4,0,0,1,0.77646,1
1,1,0,0,1,0.88635,1
1,3,0,0,1,0.69496,1
1,2,1,0,0,0.64821,1
1,6,1,0,1,0.65463,1
1,4,1,0,1,0.63258,1
1,6,0,0,1,0.53845,1
1,2,0,0,1,0.57285,1
1,3,1,0,1,0.51738,1
1,5,1,0,1,0.45851,1
1,1,1,0,1,0.42275,1
1,5,0,0,1,0.43525,1
1,3,1,0,1,0.60335,1
1,1,0,0,1,0.92654,1
1,2,1,0,0,0.60838,1
1,2,0,0,1,0.66829,1
1,3,0,0,1,0.76366,1
1,6,0,0,1,0.60289,1
1,4,1,0,1,0.45935,1
1,4,0,0,1,0.57322,1
1,5,0,0,1,0.50708,1
1,5,1,0,1,0.43702,1
1,1,1,0,0,0.66294,1
1,6,1,0,1,0.58676,1
1,2,0,0,0,0.64053,1
1,1,0,0,0,1.0885,1
1,3,1,0,1,0.61464,1
1,3,0,0,0,0.47377,1
1,1,1,0,0,0.50646,1
1,6,1,0,1,0.69566,1
1,5,1,0,1,0.89685,1
1,6,0,0,1,0.61795,1
1,2,1,0,1,0.71124,1
1,4,0,0,1,0.58984,1
1,5,0,0,1,0.83502,1
1,4,1,0,1,0.66059,1
