Subject,Distance,Context,ClassRef,RT,Vis
1,6,0,1,0.57212,1
1,4,1,1,0.75073,1
1,5,1,1,0.47266,1
1,6,1,1,0.40585,1
1,5,0,1,0.46125,1
1,3,0,1,0.45378,1
1,2,1,1,0.69226,1
1,4,0,1,0.53094,1
1,2,0,0,1.351,1
1,3,1,0,0.56169,1
1,1,0,0,0.4348,1
1,1,1,0,0.3507,1
1,2,1,0,0.71234,1
1,5,1,1,0.96609,1
1,5,0,1,0.4566,1
1,4,1,1,0.43667,1
1,6,1,1,0.45044,1
1,1,1,0,0.59373,1
1,4,0,1,0.57171,1
1,1,0,0,0.44283,1
1,3,1,0,0.65206,1
1,2,0,0,0.56081,1
1,6,0,1,0.53527,1
1,3,1,0,0.69983,1
1,6,0,1,0.47992,1
1,6,1,1,0.56048,1
1,1,1,0,0.59216,1
1,1,0,0,0.53614,1
1,5,1,1,0.54283,1
1,2,1,1,1.1932,1
1,4,0,0,0.58526,1
1,4,1,0,0.58907,1
1,3,0,0,0.98488,1
1,2,0,1,0.96685,1
1,5,0,1,0.49132,1
1,2,1,0,0.56416,1
1,6,0,1,0.62534,1
1,5,1,1,0.76049,1
1,2,0,0,0.66236,1
1,4,1,1,0.58625,1
1,5,0,1,0.5395,1
1,4,0,1,0.79473,1
1,1,1,0,0.61586,1
1,1,0,0,0.57842,1
1,3,1,0,0.52236,1
1,3,0,0,0.57762,1
1,2,1,0,0.51308,1
1,1,0,0,0.51357,1
1,6,1,1,0.57946,1
1,1,1,0,0.51451,1
1,3,1,0,1.4344,1
1,4,0,1,0.57893,1
1,5,1,1,0.63887,1
1,4,1,1,0.46686,1
1,2,0,0,0.54537,1
1,6,0,1,0.49788,1
1,3,0,1,0.9853,1
1,4,1,1,0.85226,1
1,5,1,1,0.40637,1
1,6,0,1,0.46817,1
1,2,1,0,0.61621,1
1,1,1,0,0.54215,1
1,2,0,0,0.57658,1
1,1,0,0,0.51984,1
1,6,1,1,0.59109,1
1,4,0,1,0.50376,1
1,3,0,0,0.64499,1
1,3,1,0,0.7155,1
1,5,0,1,0.53288,1
1,4,1,0,0.80277,1
1,3,0,1,0.92781,1
1,4,0,1,0.4752,1
1,6,1,1,0.45762,1
1,3,1,1,0.75946,1
1,6,0,1,0.47939,1
1,5,0,1,0.44664,1
1,2,1,0,0.56254,1
1,1,0,0,0.6171,1
1,1,1,0,0.60838,1
1,2,0,0,0.52225,1
1,5,1,1,0.58952,1
1,2,0,0,0.61408,1
1,4,0,1,1.146,1
1,1,0,0,0.6579,1
1,1,1,0,0.5005,1
1,6,1,1,0.61172,1
1,2,1,0,0.58381,1
1,5,0,1,0.6062,1
1,6,0,1,0.76271,1
1,4,1,0,0.57206,1
1,3,1,0,0.61909,1
1,3,0,1,0.63773,1
1,5,1,1,0.51496,1
1,4,0,1,0.45752,1
1,6,1,1,0.48026,1
1,6,0,1,0.46218,1
1,4,1,1,0.45128,1
1,2,0,0,0.53372,1
1,1,0,0,0.47575,1
1,5,0,1,0.48476,1
1,3,1,0,0.56672,1
1,3,0,1,1.0254,1
1,2,1,0,0.64317,1
1,5,1,1,0.51969,1
1,1,1,0,0.43932,1
1,3,1,0,0.35443,1
1,6,1,0,0.3525,1
1,3,0,0,0.38693,1
1,4,1,0,0.35222,1
1,4,0,0,0.34484,1
1,1,0,0,0.36479,1
1,2,0,0,0.36283,1
1,2,1,0,0.32727,1
1,6,0,0,0.35778,1
1,5,1,0,0.35511,1
1,2,0,0,0.32769,1
1,1,1,0,0.32231,1
1,2,1,0,0.33355,1
1,1,0,0,0.30694,1
1,6,1,1,0.65156,1
1,4,0,1,0.53668,1
1,5,0,1,0.53653,1
1,4,1,1,0.46574,1
1,6,0,1,0.43902,1
1,3,0,0,1.4996,1
1,5,1,1,0.69968,1
1,3,1,0,1.1182,1
1,2,0,1,0.72192,1
1,1,1,0,0.56914,1
1,1,0,0,0.45985,1
