Subject,Distance,Is_Let,Is_Num,Resp13,RT,Vis
1,4,0,1,0,1.0163,1
1,1,0,1,0,0.6834,1
1,5,1,0,0,0.66265,1
1,1,1,0,0,0.33589,1
1,4,0,1,0,0.28137,1
1,1,0,0,0,0.36697,1
1,5,0,0,0,0.48036,1
1,6,0,1,0,0.61243,1
1,5,0,1,0,0.6222,1
1,1,0,0,0,0.45853,1
1,3,1,0,0,0.54901,1
1,2,1,0,0,0.57206,1
1,2,0,0,0,0.42055,1
1,5,0,0,0,0.40732,1
1,6,1,0,0,0.63664,1
1,4,1,0,0,0.574,1
1,2,0,0,0,0.59972,1
1,6,1,0,0,1.8343,1
1,5,1,0,0,0.6395,1
1,4,0,0,0,0.53083,1
1,1,0,0,0,0.77636,1
1,4,0,0,0,1.1911,1
1,2,0,1,1,0.71126,1
1,4,0,0,1,0.4169,1
1,4,0,0,1,1.056,1
1,2,1,0,1,0.46603,1
1,2,0,1,1,1.8506,1
1,3,0,0,0,1.3393,1
1,4,0,1,1,0.76778,1
1,5,1,0,0,0.973,1
1,1,0,0,0,0.74625,1
1,3,0,1,0,0.66878,1
1,5,0,1,0,0.79137,1
1,2,0,0,0,0.818,1
1,2,0,0,1,0.77108,1
1,3,0,0,1,0.85835,1
1,6,0,1,1,0.74749,1
1,4,1,0,0,0.80152,1
1,3,0,1,0,0.87443,1
1,5,0,0,1,0.78323,1
1,6,0,0,1,1.5509,1
1,4,0,1,1,1.1657,1
1,1,1,0,1,0.76843,1
1,4,0,1,0,1.4246,1
1,6,0,0,0,0.87642,1
1,2,1,0,1,0.77011,1
1,4,0,1,1,0.85018,1
1,5,1,0,0,0.95709,1
1,5,1,0,0,0.85902,1
1,2,0,0,0,1.0419,1
1,5,0,0,1,0.98839,1
1,4,1,0,0,1.0592,1
1,5,0,1,0,0.52381,1
1,5,0,0,1,1.0324,1
1,2,0,1,0,0.75036,1
1,3,0,1,0,0.63767,1
1,2,1,0,0,0.66349,1
1,1,0,1,0,0.61793,1
1,6,0,1,0,0.63854,1
1,1,0,0,0,0.62305,1
1,6,0,1,0,0.50311,1
1,1,1,0,0,0.55908,1
1,1,1,0,0,0.5961,1
1,6,0,1,0,0.61012,1
1,3,0,0,0,0.62145,1
1,5,0,1,1,1.1072,1
1,1,0,1,1,0.69041,1
1,2,0,1,0,0.74144,1
1,6,0,0,0,0.75241,1
