Subject,Distance,Is_Let,Is_Num,Resp13,RT,Vis
1,2,1,0,0,0.78382,4
1,1,0,0,1,1.2137,4
1,2,0,1,0,0.67597,4
1,5,0,1,1,0.59277,4
1,1,0,0,0,1.202,1
1,2,0,1,1,1.1225,4
1,4,1,0,0,2.0625,4
1,3,0,1,1,0.99249,4
1,4,0,1,1,1.5899,1
1,3,0,0,1,0.58642,4
1,4,1,0,0,0.6336,4
1,3,0,0,1,0.57239,4
1,5,0,1,1,0.60782,4
1,6,0,0,1,0.42188,4
1,1,0,1,1,0.95506,4
1,4,0,1,1,0.4975,4
1,2,0,1,1,0.44335,4
1,5,1,0,0,0.69176,4
1,5,0,0,1,0.53439,4
1,3,0,1,1,0.79508,4
1,1,0,1,1,0.62169,4
1,1,1,0,0,1.0855,4
1,3,0,1,1,1.5911,4
1,3,1,0,0,0.61436,4
1,2,1,0,0,1.1041,4
1,2,0,0,1,0.39319,4
1,3,0,0,1,0.36521,4
1,1,0,1,0,0.57538,4
1,1,0,1,0,0.55551,4
1,3,0,1,1,0.78659,4
1,6,0,0,1,0.67203,4
1,6,0,0,1,0.43282,4
1,4,0,0,1,0.47256,4
1,1,0,0,1,0.55438,4
1,4,0,0,1,0.56415,4
1,6,0,1,1,0.73459,4
1,6,0,0,1,0.57723,4
1,4,0,0,1,0.55311,4
1,2,0,1,0,0.72508,4
1,3,1,0,0,0.59775,4
1,4,0,0,1,0.51876,4
1,4,1,0,0,2.07,4
1,5,1,0,0,0.61728,4
1,5,0,1,1,0.75508,4
1,6,1,0,0,1.432,4
1,4,0,1,1,0.67591,4
1,1,0,1,1,0.71598,4
1,5,1,0,0,0.66938,4
1,3,0,0,1,0.48052,4
1,5,0,0,1,0.68261,4
1,2,0,0,1,0.6105,4
1,4,1,0,0,1.5008,4
1,2,0,0,1,0.6638,4
1,2,0,1,1,2.1463,4
1,6,1,0,0,0.76141,4
1,5,0,0,1,0.69548,4
1,1,1,0,1,0.37539,4
1,4,1,0,0,0.86623,4
1,6,1,0,0,0.58092,4
1,6,0,0,1,0.60158,4
1,1,0,1,1,0.85059,4
1,4,0,0,1,0.70601,4
1,5,0,0,1,0.57925,4
1,2,0,0,1,0.52943,4
1,4,0,0,1,0.80379,4
1,1,0,1,1,0.87146,4
1,6,0,1,1,0.66092,4
1,5,0,0,1,1.1298,4
1,5,0,0,1,0.95271,4
1,6,1,0,0,0.72444,4
1,5,0,1,1,1.1163,4
1,2,1,0,0,0.6271,4
1,3,0,1,1,0.97152,4
1,5,0,0,1,0.68209,4
1,4,0,1,1,0.65186,4
1,4,0,0,1,1.0298,4
1,1,0,0,1,1.5376,4
1,2,1,0,0,0.73502,4
1,2,0,0,1,0.64763,4
1,5,0,0,1,1.2388,4
1,1,0,1,0,0.83988,4
1,4,0,1,0,0.63095,4
1,4,0,1,1,0.69591,4
1,6,0,1,1,0.56137,4
1,2,0,0,1,0.92382,4
1,6,0,1,1,0.45894,4
1,5,0,0,0,0.87168,4
1,3,1,0,1,0.48772,4
