"","id","cond","aware","addcno","addino","addnooutliers","addcrx","addclrx","addirx","addilrx","subcno","subino","subnooutliers","subcrx","subclrx","subirx","subilrx","Purpose","ExplicitAware","Type","pass","completeunaware","awareness","eye","block","filter_$","addpro","subpro","addout","subout"
"27",1055,3,0.515625,32,32,61,564.6333333,6.330066217,563.483871,6.328365173,24,24,48,533.5833333,6.271919624,531.4583333,6.271579119,2,2,0,1,1,1,0,0,1,1,1,0.953125,1
"28",1056,2,0.5,32,32,63,502.625,6.212503825,512.1290323,6.231768405,24,24,48,464.0833333,6.136010548,478.125,6.16396552,2,2,0,1,1,1,1,1,1,1,1,0.984375,1
"29",1057,4,0.453125,32,32,63,491.09375,6.187192981,503.8709677,6.215235669,24,24,47,519.5217391,6.24719146,538.4583333,6.280173557,2,2,0,1,1,1,1,0,1,1,1,0.984375,0.979166666666667
"30",1060,2,0.5,32,32,64,474.84375,6.161054977,494.6875,6.199026484,24,24,48,496.0833333,6.202210319,497.8333333,6.207933777,2,2,0,1,1,1,1,1,1,1,1,1,1
"31",1062,1,0.421875,32,32,64,574.75,6.34747104,559.8125,6.319718964,24,24,48,579.5833333,6.353622575,601.0833333,6.393165433,2,2,0,1,1,1,0,1,1,1,1,1,1
"32",1063,1,0.4375,32,32,63,517.0645161,6.237448965,528.28125,6.261741978,24,24,48,487.9583333,6.176964337,458.9583333,6.117144105,2,2,0,1,1,1,0,1,1,1,1,0.984375,1
"33",1065,2,0.5,32,32,63,640.5625,6.452833651,592.1612903,6.375412867,24,24,47,615.3478261,6.417065337,598.5833333,6.388269655,2,2,0,1,1,1,1,1,1,1,1,0.984375,0.979166666666667
"34",1066,4,0.5,32,32,63,548.4516129,6.298731201,524.25,6.253280054,24,24,48,526.625,6.259641482,531.0833333,6.271086255,2,2,0,1,1,1,1,0,1,1,1,0.984375,1
"35",1067,2,0.515625,32,32,63,580.4375,6.354410668,566.5483871,6.331303514,24,24,48,496.4583333,6.202403855,502.25,6.214590134,2,2,0,1,1,1,1,1,1,1,1,0.984375,1
"36",1068,4,0.515625,32,32,63,610.5,6.409948487,594.3225806,6.381599769,24,24,48,567.4166667,6.33673991,552.9166667,6.312159891,2,2,0,1,1,1,1,0,1,1,1,0.984375,1
"37",1073,2,0.555555556,32,32,61,574.6666667,6.348942449,578.9677419,6.354932348,24,24,48,547.1666667,6.297192469,545.7083333,6.294136253,2,2,0,1,1,1,1,1,1,1,1,0.953125,1
"38",1074,2,0.53125,32,32,64,617.78125,6.414714775,587.3125,6.35702736,24,24,47,634,6.447330098,644.7916667,6.45436476,2,2,0,1,1,1,1,1,1,1,1,1,0.979166666666667
