d_prime,acc
-0.43073,0.41558
0,0.5
0,0.5
0.25091,0.53846
0,0.5
0.16107,0.53247
-0.74936,0.38961
0,0.5
0.14705,0.59574
0.13231,0.52632
0.12566,0.52564
-0.28359,0.48684
0,0.5
0.06482,0.51282
0.01932,0.5125
0,0.5
-0.19135,0.46053
0.35572,0.56579
0,0.5
0.33301,0.56579
0.15205,0.52564
0.21054,0.5443
0.069526,0.51282
0,0.5
0.077694,0.51282
0.59906,0.52564
0.16226,0.54651
-0.17466,0.46753
0.42354,0.55696
-0.40672,0.42105
0.28249,0.51282
0.35255,0.56962
-0.53399,0.39474
-0.26699,0.44737
