acc,d_prime
0.5514,0.20545
0.46429,0.035796
0.51456,0.1052
0.57692,0.7917
0.44231,-0.28719
0.58163,0.41918
0.64331,1.0557
0.5566,0.27748
0.57407,0.34981
0.49038,0.24099
0.42735,-0.32356
0.52679,0.16145
0.46535,-0.30664
0.54955,0.18418
0.4902,-0.038622
0.53846,0.18147
0.45545,-0.22301
0.51456,0.021782
0.4697,-0.14199
0.46535,-0.18677
0.50476,-0.032111
0.57692,0.47104
0.49038,-0.27693
0.4537,-0.20686
