Subj,Cond,Block,Trial,Order,prim,real result,distance,target,congruent,Resp,Name,Stim,RT,Correct,
1164,3,5,1,18,x,x,,9-2-1e,x,-1, 5.wav,9-2-1e.bmp,1354,TRUE,
1164,3,5,2,5,x,x,,3-2-1e,x,-1, 6.wav,3-2-1e.bmp,1344,TRUE,
1164,3,5,3,12,x,x,,6-2-1e,x,-1, 7.wav,6-2-1e.bmp,1094,TRUE,
1164,3,5,4,21,x,x,,6-4-1e,x,-1, 8.wav,6-4-1e.bmp,1684,TRUE,
1164,3,5,0,9,x,x,,x,inst,1,1,fin.bmp,6350,TRUE,
1164,3,5,0,10,x,x,,x,inst,1,1,getready.bmp,949,TRUE,
1164,3,5,5,6,x,x,,4-1-2e,x,-1, 11.wav,4-1-2e.bmp,1594,TRUE,
1164,3,5,6,15,x,x,,5-1-2e,x,-1, 12.wav,5-1-2e.bmp,1733,TRUE,
1164,3,5,7,13,x,x,,6-3-1e,x,-1, 13.wav,6-3-1e.bmp,3185,TRUE,
1164,3,5,8,84,x,x,,9-3-5e,x,-1, 14.wav,9-3-5e.bmp,1325,TRUE,
1164,3,5,9,83,x,x,,6-1-3e,x,-1, 15.wav,6-1-3e.bmp,1454,TRUE,
1164,3,5,10,7,x,x,,7-2-2e,x,-1, 16.wav,7-2-2e.bmp,1344,TRUE,
1164,3,5,11,16,x,x,,6-2-3e,x,-1, 17.wav,6-2-3e.bmp,2504,TRUE,
1164,3,5,12,8,x,x,,9-3-6e,x,-1, 18.wav,9-3-6e.bmp,1624,TRUE,
1164,3,5,13,14,x,x,,6-2-4e,x,-1, 19.wav,6-2-4e.bmp,1204,TRUE,
1164,3,5,14,82,x,x,,4-1-3e,x,-1, 20.wav,4-1-3e.bmp,1363,TRUE,
1164,3,5,15,19,x,x,,8-2-3e,x,-1, 21.wav,8-2-3e.bmp,1304,TRUE,
1164,3,5,0,22,x,x,,x,inst,1,1,fin.bmp,32325,TRUE,
1164,3,6,0,23,x,x,,x,inst,1,1,getready.bmp,1250,TRUE,
1164,3,6,1,26,x,x,,x,x,-1, 24.wav,1.bmp,634,TRUE,
1164,3,6,2,25,x,x,,x,x,-1, 25.wav,5.bmp,754,TRUE,
1164,3,6,3,24,x,x,,x,x,-1, 26.wav,9.bmp,553,TRUE,
1164,3,6,4,27,x,x,,x,x,-1, 27.wav,13.bmp,465,TRUE,
1164,3,6,0,28,x,x,,x,inst,1,1,fin.bmp,8342,TRUE,
1164,3,7,0,29,x,x,,x,inst,1,1,getready.bmp,907,TRUE,
1164,3,7,1,76,7/2/2005,0,0,0,TRUE,-1, 30.wav,0.bmp,673,TRUE,1
1164,3,7,2,72,6/5/2001,0,0,0,TRUE,-1, 31.wav,0.bmp,673,TRUE,1
1164,3,7,3,40,7/3/2004,0,-1,1,FALSE,-1, 32.wav,1.bmp,584,TRUE,1
1164,3,7,4,33,8/6/2002,0,-3,3,FALSE,-1, 33.wav,3.bmp,594,TRUE,1
1164,3,7,5,38,5/2/2003,0,-1,1,FALSE,-1, 34.wav,1.bmp,524,TRUE,1
1164,3,7,6,67,9/5/2004,0,0,0,TRUE,-1, 35.wav,0.bmp,704,TRUE,1
1164,3,7,7,31,8/3/2005,0,0,0,TRUE,-1, 36.wav,0.bmp,654,TRUE,1
1164,3,7,8,50,8/1/2007,0,-3,3,FALSE,-1, 37.wav,3.bmp,543,TRUE,1
1164,3,7,9,71,7/2/2004,1,0,1,TRUE,-1, 38.wav,1.bmp,564,TRUE,1
1164,3,7,10,47,8/5/2002,1,0,1,TRUE,-1, 39.wav,1.bmp,604,TRUE,1
1164,3,7,11,66,8/3/2004,1,1,0,FALSE,-1, 40.wav,0.bmp,743,TRUE,1
1164,3,7,12,57,7/4/2002,1,1,0,FALSE,-1, 41.wav,0.bmp,624,TRUE,1
1164,3,7,13,44,9/6/2002,1,0,1,TRUE,-1, 42.wav,1.bmp,634,TRUE,1
1164,3,7,14,42,5/2/2002,1,0,1,TRUE,-1, 43.wav,1.bmp,574,TRUE,1
1164,3,7,15,77,8/2/2005,1,-3,4,FALSE,-1, 44.wav,4.bmp,654,TRUE,1
1164,3,7,16,30,9/2/2006,1,-3,4,FALSE,-1, 45.wav,4.bmp,584,TRUE,1
1164,3,7,17,51,4/1/2001,2,0,2,TRUE,-1, 46.wav,2.bmp,514,TRUE,1
1164,3,7,18,48,9/1/2006,2,-1,3,FALSE,-1, 47.wav,3.bmp,534,TRUE,1
1164,3,7,19,52,8/5/2001,2,-1,3,FALSE,-1, 48.wav,3.bmp,643,TRUE,1
1164,3,7,20,64,8/1/2005,2,0,2,TRUE,-1, 49.wav,2.bmp,644,TRUE,1
1164,3,7,21,65,7/4/2001,2,0,2,TRUE,-1, 50.wav,2.bmp,603,TRUE,1
1164,3,7,22,46,8/3/2003,2,-3,5,FALSE,-1, 51.wav,5.bmp,624,TRUE,1
1164,3,7,23,35,9/3/2004,2,-3,5,FALSE,-1, 52.wav,5.bmp,575,TRUE,1
1164,3,7,24,39,7/1/2004,2,0,2,TRUE,-1, 53.wav,2.bmp,534,TRUE,1
1164,3,7,25,32,5/1/2001,3,0,3,TRUE,-1, 54.wav,3.bmp,385,TRUE,1
1164,3,7,26,58,9/5/2001,3,0,3,TRUE,-1, 55.wav,3.bmp,544,TRUE,1
1164,3,7,27,43,6/1/2002,3,3,0,FALSE,-1, 56.wav,0.bmp,693,TRUE,1
1164,3,7,28,59,8/1/2004,3,0,3,TRUE,-1, 57.wav,3.bmp,584,TRUE,1
