Subj,Cond,Block,Trial,Order,prim,real result,distance,target,congruent,Resp,Name,Stim,RT,Correct,
1129,3,5,1,17,x,x,,9-2-1e,x,-1, 5.wav,9-2-1e.bmp,3345,TRUE,
1129,3,5,2,19,x,x,,3-2-1e,x,-1, 6.wav,3-2-1e.bmp,2074,TRUE,
1129,3,5,3,7,x,x,,6-2-1e,x,-1, 7.wav,6-2-1e.bmp,2334,TRUE,
1129,3,5,4,5,x,x,,6-4-1e,x,-1, 8.wav,6-4-1e.bmp,2453,TRUE,
1129,3,5,0,9,x,x,,x,inst,1,1,fin.bmp,8692,TRUE,
1129,3,5,0,10,x,x,,x,inst,1,1,getready.bmp,1669,TRUE,
1129,3,5,5,81,x,x,,4-1-2e,x,-1, 11.wav,4-1-2e.bmp,1664,TRUE,
1129,3,5,6,20,x,x,,5-1-2e,x,-1, 12.wav,5-1-2e.bmp,1694,TRUE,
1129,3,5,7,12,x,x,,6-3-1e,x,-1, 13.wav,6-3-1e.bmp,1524,TRUE,
1129,3,5,8,82,x,x,,9-3-5e,x,-1, 14.wav,9-3-5e.bmp,1784,TRUE,
1129,3,5,9,6,x,x,,6-1-3e,x,-1, 15.wav,6-1-3e.bmp,2724,TRUE,
1129,3,5,10,14,x,x,,7-2-2e,x,-1, 16.wav,7-2-2e.bmp,2573,TRUE,
1129,3,5,11,84,x,x,,6-2-3e,x,-1, 17.wav,6-2-3e.bmp,1604,TRUE,
1129,3,5,12,13,x,x,,9-3-6e,x,-1, 18.wav,9-3-6e.bmp,3514,TRUE,
1129,3,5,13,15,x,x,,6-2-4e,x,-1, 19.wav,6-2-4e.bmp,2093,TRUE,
1129,3,5,14,18,x,x,,4-1-3e,x,-1, 20.wav,4-1-3e.bmp,1354,TRUE,
1129,3,5,15,8,x,x,,8-2-3e,x,-1, 21.wav,8-2-3e.bmp,2844,TRUE,
1129,3,5,0,22,x,x,,x,inst,1,1,fin.bmp,35693,TRUE,
1129,3,6,0,23,x,x,,x,inst,1,1,getready.bmp,1441,TRUE,
1129,3,6,1,27,x,x,,x,x,-1, 24.wav,1.bmp,663,TRUE,
1129,3,6,2,26,x,x,,x,x,-1, 25.wav,5.bmp,624,TRUE,
1129,3,6,3,25,x,x,,x,x,-1, 26.wav,9.bmp,704,TRUE,
1129,3,6,4,24,x,x,,x,x,-1, 27.wav,13.bmp,624,TRUE,
1129,3,6,0,28,x,x,,x,inst,1,1,fin.bmp,3310,TRUE,
1129,3,7,0,29,x,x,,x,inst,1,1,getready.bmp,1259,TRUE,
1129,3,7,1,73,7/2/2005,0,0,0,TRUE,-1, 30.wav,0.bmp,744,TRUE,1
1129,3,7,2,77,6/5/2001,0,0,0,TRUE,-1, 31.wav,0.bmp,653,TRUE,1
1129,3,7,3,53,7/3/2004,0,-1,1,FALSE,-1, 32.wav,1.bmp,604,TRUE,1
1129,3,7,4,48,8/6/2002,0,-3,3,FALSE,-1, 33.wav,3.bmp,615,TRUE,1
1129,3,7,5,71,5/2/2003,0,-1,1,FALSE,-1, 34.wav,1.bmp,584,TRUE,1
1129,3,7,6,63,9/5/2004,0,0,0,TRUE,-1, 35.wav,0.bmp,674,TRUE,1
1129,3,7,7,76,8/3/2005,0,0,0,TRUE,-1, 36.wav,0.bmp,614,TRUE,1
1129,3,7,8,40,8/1/2007,0,-3,3,FALSE,-1, 37.wav,3.bmp,693,TRUE,1
1129,3,7,9,60,7/2/2004,1,0,1,TRUE,-1, 38.wav,1.bmp,704,TRUE,1
1129,3,7,10,50,8/5/2002,1,0,1,TRUE,-1, 39.wav,1.bmp,624,TRUE,1
1129,3,7,11,68,8/3/2004,1,1,0,FALSE,-1, 40.wav,0.bmp,714,TRUE,1
1129,3,7,12,69,7/4/2002,1,1,0,FALSE,-1, 41.wav,0.bmp,583,TRUE,1
1129,3,7,13,66,9/6/2002,1,0,1,TRUE,-1, 42.wav,1.bmp,544,TRUE,1
1129,3,7,14,74,5/2/2002,1,0,1,TRUE,-1, 43.wav,1.bmp,653,TRUE,1
1129,3,7,15,56,8/2/2005,1,-3,4,FALSE,-1, 44.wav,4.bmp,734,TRUE,1
1129,3,7,16,51,9/2/2006,1,-3,4,FALSE,-1, 45.wav,4.bmp,665,TRUE,1
1129,3,7,17,55,4/1/2001,2,0,2,TRUE,-1, 46.wav,2.bmp,674,TRUE,1
1129,3,7,18,39,9/1/2006,2,-1,3,FALSE,-1, 47.wav,3.bmp,665,TRUE,1
1129,3,7,19,45,8/5/2001,2,-1,3,FALSE,-1, 48.wav,3.bmp,663,TRUE,1
1129,3,7,20,33,8/1/2005,2,0,2,TRUE,-1, 49.wav,2.bmp,623,TRUE,1
1129,3,7,21,65,7/4/2001,2,0,2,TRUE,-1, 50.wav,2.bmp,584,TRUE,1
1129,3,7,22,44,8/3/2003,2,-3,5,FALSE,-1, 51.wav,5.bmp,575,TRUE,1
1129,3,7,23,41,9/3/2004,2,-3,5,FALSE,-1, 52.wav,5.bmp,674,TRUE,1
1129,3,7,24,38,7/1/2004,2,0,2,TRUE,-1, 53.wav,2.bmp,544,TRUE,1
1129,3,7,25,30,5/1/2001,3,0,3,TRUE,-1, 54.wav,3.bmp,684,TRUE,1
1129,3,7,26,37,9/5/2001,3,0,3,TRUE,-1, 55.wav,3.bmp,563,TRUE,1
1129,3,7,27,34,6/1/2002,3,3,0,FALSE,-1, 56.wav,0.bmp,604,TRUE,1
1129,3,7,28,31,8/1/2004,3,0,3,TRUE,-1, 57.wav,3.bmp,584,TRUE,1
1129,3,7,29,32,8/1/2004,3,1,2,FALSE,-1, 58.wav,2.bmp,544,TRUE,1
1129,3,7,30,58,9/4/2002,3,3,0,FALSE,-1, 59.wav,0.bmp,523,TRUE,1
1129,3,7,31,57,9/2/2004,3,0,3,TRUE,-1, 60.wav,3.bmp,645,TRUE,1
1129,3,7,32,43,9/1/2005,3,1,2,FALSE,-1, 61.wav,2.bmp,614,TRUE,1
1129,3,7,33,54,6/1/2001,4,0,4,TRUE,-1, 62.wav,4.bmp,684,TRUE,1
1129,3,7,34,67,9/2/2003,4,3,1,FALSE,-1, 63.wav,1.bmp,613,TRUE,1
1129,3,7,35,62,8/3/2001,4,0,4,TRUE,-1, 64.wav,4.bmp,804,TRUE,1
1129,3,7,36,42,7/1/2002,4,-1,5,FALSE,-1, 65.wav,5.bmp,574,TRUE,1
1129,3,7,37,59,8/2/2002,4,0,4,TRUE,-1, 66.wav,4.bmp,685,TRUE,1
1129,3,7,38,49,9/3/2002,4,0,4,TRUE,-1, 67.wav,4.bmp,603,TRUE,1
1129,3,7,39,52,8/1/2003,4,-1,5,FALSE,-1, 68.wav,5.bmp,654,TRUE,1
1129,3,7,40,75,9/2/2003,4,3,1,FALSE,-1, 69.wav,1.bmp,664,TRUE,1
1129,3,7,41,61,7/1/2001,5,0,5,TRUE,-1, 70.wav,5.bmp,664,TRUE,1
1129,3,7,42,46,8/2/2001,5,0,5,TRUE,-1, 71.wav,5.bmp,635,TRUE,1
1129,3,7,43,36,9/3/2001,5,3,2,FALSE,-1, 72.wav,2.bmp,563,TRUE,1
1129,3,7,44,47,8/1/2002,5,1,4,FALSE,-1, 73.wav,4.bmp,734,TRUE,1
1129,3,7,45,70,9/3/2001,5,0,5,TRUE,-1, 74.wav,5.bmp,674,TRUE,1
1129,3,7,46,35,9/1/2003,5,0,5,TRUE,-1, 75.wav,5.bmp,655,TRUE,1
1129,3,7,47,64,7/1/2001,5,3,2,FALSE,-1, 76.wav,2.bmp,693,TRUE,1
1129,3,7,48,72,9/2/2002,5,1,4,FALSE,-1, 77.wav,4.bmp,743,TRUE,1
1129,3,7,0,78,x,x,,x,inst,1,1,fin.bmp,26539,TRUE,
1129,3,4,0,79,x,x,,x,inst,1,1,getready.bmp,1085,TRUE,
1129,3,6,1,80,x,x,,5-4-1e,x,-1, 80.wav,5-4-1e.bmp,2224,TRUE,
1129,3,6,2,21,x,x,,7-5-2e,x,-1, 81.wav,7-5-2e.bmp,1353,TRUE,
1129,3,6,3,11,x,x,,8-2-6e,x,-1, 82.wav,8-2-6e.bmp,1734,TRUE,
1129,3,6,4,16,x,x,,9-8-1e,x,-1, 83.wav,9-8-1e.bmp,1754,TRUE,
1129,3,6,5,83,x,x,,6-1-5e,x,-1, 84.wav,6-1-5e.bmp,1634,TRUE,
1129,3,4,0,85,x,x,,x,inst,1,1,fin.bmp,3103,TRUE,
1129,3,5,0,86,x,x,,x,inst,1,1,getready.bmp,1808,TRUE,
1129,3,1,1,88,x,x,,1+3+7,x,-1, 87.wav,1+3+7e.bmp,1683,TRUE,
1129,3,1,2,99,x,x,,5+2+3,x,-1, 88.wav,5+2+3e.bmp,1574,TRUE,
1129,3,1,3,181,x,x,,4+1+3,x,-1, 89.wav,4+1+3e.bmp,1364,TRUE,
1129,3,1,4,98,x,x,,6+3+4,x,-1, 90.wav,6+3+4e.bmp,2064,TRUE,
1129,3,1,0,91,x,x,,x,inst,1,1,fin.bmp,8516,TRUE,
1129,3,1,0,92,x,x,,x,inst,1,1,getready.bmp,939,TRUE,
1129,3,1,5,101,x,x,,7+2+5,x,-1, 93.wav,7+2+5e.bmp,4794,TRUE,
1129,3,1,6,178,x,x,,3+2+7,x,-1, 94.wav,3+2+7e.bmp,1643,TRUE,
1129,3,1,7,94,x,x,,2+3+4,x,-1, 95.wav,2+3+4e.bmp,2315,TRUE,
1129,3,1,8,90,x,x,,8+1+2,x,-1, 96.wav,8+1+2e.bmp,1964,TRUE,
1129,3,1,9,97,x,x,,6+3+2,x,-1, 97.wav,6+3+2e.bmp,1754,TRUE,
1129,3,1,10,89,x,x,,2+9+1,x,-1, 98.wav,2+9+1e.bmp,2604,TRUE,
1129,3,1,11,93,x,x,,2+4+6,x,-1, 99.wav,2+4+6e.bmp,1675,TRUE,
