Subj,Cond,Block,Trial,Order,prim,real result,distance,target,congruent,Resp,Name,Stim,RT,Correct,
1178,3,5,1,83,x,x,,9-2-1e,x,-1, 5.wav,9-2-1e.bmp,1893,TRUE,
1178,3,5,2,13,x,x,,3-2-1e,x,-1, 6.wav,3-2-1e.bmp,2494,TRUE,
1178,3,5,3,5,x,x,,6-2-1e,x,-1, 7.wav,6-2-1e.bmp,1853,TRUE,
1178,3,5,4,19,x,x,,6-4-1e,x,-1, 8.wav,6-4-1e.bmp,2443,TRUE,
1178,3,5,0,9,x,x,,x,inst,1,1,fin.bmp,9147,TRUE,
1178,3,5,0,10,x,x,,x,inst,1,1,getready.bmp,788,TRUE,
1178,3,5,5,11,x,x,,4-1-2e,x,-1, 11.wav,4-1-2e.bmp,1773,TRUE,
1178,3,5,6,18,x,x,,5-1-2e,x,-1, 12.wav,5-1-2e.bmp,144,TRUE,
1178,3,5,7,8,x,x,,6-3-1e,x,-1, 13.wav,6-3-1e.bmp,1723,TRUE,
1178,3,5,8,84,x,x,,9-3-5e,x,-1, 14.wav,9-3-5e.bmp,1334,TRUE,
1178,3,5,9,20,x,x,,6-1-3e,x,-1, 15.wav,6-1-3e.bmp,1153,TRUE,
1178,3,5,10,6,x,x,,7-2-2e,x,-1, 16.wav,7-2-2e.bmp,2695,TRUE,
1178,3,5,11,12,x,x,,6-2-3e,x,-1, 17.wav,6-2-3e.bmp,2194,TRUE,
1178,3,5,12,16,x,x,,9-3-6e,x,-1, 18.wav,9-3-6e.bmp,1394,TRUE,
1178,3,5,13,80,x,x,,6-2-4e,x,-1, 19.wav,6-2-4e.bmp,1114,TRUE,
1178,3,5,14,15,x,x,,4-1-3e,x,-1, 20.wav,4-1-3e.bmp,1443,TRUE,
1178,3,5,15,17,x,x,,8-2-3e,x,-1, 21.wav,8-2-3e.bmp,1855,TRUE,
1178,3,5,0,22,x,x,,x,inst,1,1,fin.bmp,34794,TRUE,
1178,3,6,0,23,x,x,,x,inst,1,1,getready.bmp,848,TRUE,
