Subj,Cond,Block,Trial,Order,prim,real result,distance,target,congruent,Resp,Name,Stim,RT,Correct,
1154,3,5,1,18,x,x,,9-2-1e,x,-1, 5.wav,9-2-1e.bmp,3084,TRUE,
1154,3,5,2,7,x,x,,3-2-1e,x,-1, 6.wav,3-2-1e.bmp,1945,TRUE,
1154,3,5,3,80,x,x,,6-2-1e,x,-1, 7.wav,6-2-1e.bmp,1715,TRUE,
1154,3,5,4,8,x,x,,6-4-1e,x,-1, 8.wav,6-4-1e.bmp,2744,TRUE,
1154,3,5,0,9,x,x,,x,inst,1,1,fin.bmp,6693,TRUE,
1154,3,5,0,10,x,x,,x,inst,1,1,getready.bmp,1089,TRUE,
1154,3,5,5,11,x,x,,4-1-2e,x,-1, 11.wav,4-1-2e.bmp,714,TRUE,
1154,3,5,6,82,x,x,,5-1-2e,x,-1, 12.wav,5-1-2e.bmp,4204,TRUE,
1154,3,5,7,12,x,x,,6-3-1e,x,-1, 13.wav,6-3-1e.bmp,5124,TRUE,
1154,3,5,8,5,x,x,,9-3-5e,x,-1, 14.wav,9-3-5e.bmp,8894,TRUE,
1154,3,5,9,83,x,x,,6-1-3e,x,-1, 15.wav,6-1-3e.bmp,2055,TRUE,
1154,3,5,10,81,x,x,,7-2-2e,x,-1, 16.wav,7-2-2e.bmp,2164,TRUE,
1154,3,5,11,6,x,x,,6-2-3e,x,-1, 17.wav,6-2-3e.bmp,3624,TRUE,
1154,3,5,12,17,x,x,,9-3-6e,x,-1, 18.wav,9-3-6e.bmp,2504,TRUE,
1154,3,5,13,20,x,x,,6-2-4e,x,-1, 19.wav,6-2-4e.bmp,1233,TRUE,
1154,3,5,14,14,x,x,,4-1-3e,x,-1, 20.wav,4-1-3e.bmp,1765,TRUE,
1154,3,5,15,15,x,x,,8-2-3e,x,-1, 21.wav,8-2-3e.bmp,4424,TRUE,
1154,3,5,0,22,x,x,,x,inst,1,1,fin.bmp,30233,TRUE,
1154,3,6,0,23,x,x,,x,inst,1,1,getready.bmp,1149,TRUE,
1154,3,6,1,24,x,x,,x,x,-1, 24.wav,1.bmp,635,TRUE,
1154,3,6,2,25,x,x,,x,x,-1, 25.wav,5.bmp,694,TRUE,
1154,3,6,3,27,x,x,,x,x,-1, 26.wav,9.bmp,664,TRUE,
1154,3,6,4,26,x,x,,x,x,-1, 27.wav,13.bmp,524,TRUE,
1154,3,6,0,28,x,x,,x,inst,1,1,fin.bmp,4732,TRUE,
1154,3,7,0,29,x,x,,x,inst,1,1,getready.bmp,1058,TRUE,
1154,3,7,1,59,7/2/2005,0,0,0,TRUE,-1, 30.wav,0.bmp,524,TRUE,1
1154,3,7,2,41,6/5/2001,0,0,0,TRUE,-1, 31.wav,0.bmp,515,TRUE,1
