Subj,Cond,Block,Trial,Order,prim,real result,distance,target,congruent,Resp,Name,Stim,RT,Correct,
1166,2,1,1,16,x,x,,1+3+7,x,-1, 5.wav,1+3+7e.bmp,2165,TRUE,
1166,2,1,2,14,x,x,,5+2+3,x,-1, 6.wav,5+2+3e.bmp,1334,TRUE,
1166,2,1,3,5,x,x,,4+1+3,x,-1, 7.wav,4+1+3e.bmp,1004,TRUE,
1166,2,1,4,15,x,x,,6+3+4,x,-1, 8.wav,6+3+4e.bmp,2513,TRUE,
1166,2,1,0,9,x,x,,x,inst,1,1,fin.bmp,10357,TRUE,
1166,2,1,0,10,x,x,,x,inst,1,1,getready.bmp,1160,TRUE,
1166,2,1,5,98,x,x,,7+2+5,x,-1, 11.wav,7+2+5e.bmp,1504,TRUE,
1166,2,1,6,96,x,x,,3+2+7,x,-1, 12.wav,3+2+7e.bmp,1264,TRUE,
1166,2,1,7,6,x,x,,2+3+4,x,-1, 13.wav,2+3+4e.bmp,1144,TRUE,
1166,2,1,8,20,x,x,,8+1+2,x,-1, 14.wav,8+1+2e.bmp,1324,TRUE,
1166,2,1,9,12,x,x,,6+3+2,x,-1, 15.wav,6+3+2e.bmp,1194,TRUE,
1166,2,1,10,19,x,x,,2+9+1,x,-1, 16.wav,2+9+1e.bmp,1644,TRUE,
1166,2,1,11,11,x,x,,2+4+6,x,-1, 17.wav,2+4+6e.bmp,1664,TRUE,
1166,2,1,12,99,x,x,,6+2+1,x,-1, 18.wav,6+2+1e.bmp,1244,TRUE,
1166,2,1,13,100,x,x,,4+1+5,x,-1, 19.wav,4+1+5e.bmp,1214,TRUE,
1166,2,1,14,18,x,x,,5+3+2,x,-1, 20.wav,5+3+2e.bmp,1524,TRUE,
1166,2,1,15,17,x,x,,4+3+6,x,-1, 21.wav,4+3+6e.bmp,2124,TRUE,
1166,2,1,0,22,x,x,,x,inst,1,1,fin.bmp,33164,TRUE,
1166,2,2,0,23,x,x,,x,inst,1,1,getready.bmp,902,TRUE,
1166,2,2,1,25,x,x,,x,x,-1, 24.wav,1.bmp,523,TRUE,
1166,2,2,2,24,x,x,,x,x,-1, 25.wav,5.bmp,624,TRUE,
1166,2,2,3,27,x,x,,x,x,-1, 26.wav,9.bmp,514,TRUE,
1166,2,2,4,26,x,x,,x,x,-1, 27.wav,13.bmp,574,TRUE,
1166,2,2,0,28,x,x,,x,inst,1,1,fin.bmp,4817,TRUE,
1166,2,3,0,29,x,x,,x,inst,1,1,getready.bmp,833,TRUE,
1166,2,3,1,80,1+3+2,6,0,6,TRUE,-1, 30.wav,6.bmp,524,TRUE,1
1166,2,3,2,92,1+2+3,6,0,6,TRUE,-1, 31.wav,6.bmp,504,TRUE,1
1166,2,3,3,91,1+3+2,6,0,6,TRUE,-1, 32.wav,6.bmp,564,TRUE,1
1166,2,3,4,39,1+2+3,6,0,6,TRUE,-1, 33.wav,6.bmp,443,TRUE,1
1166,2,3,5,69,2+1+3,6,-2,8,FALSE,-1, 34.wav,8.bmp,624,TRUE,1
1166,2,3,6,47,3+2+1,6,-4,10,FALSE,-1, 35.wav,10.bmp,574,TRUE,1
1166,2,3,7,89,2+3+1,6,-2,8,FALSE,-1, 36.wav,8.bmp,574,TRUE,1
1166,2,3,8,77,3+1+2,6,-4,10,FALSE,-1, 37.wav,10.bmp,574,TRUE,1
1166,2,3,9,56,4+2+1,7,0,7,TRUE,-1, 38.wav,7.bmp,513,TRUE,1
1166,2,3,10,84,1+4+2,7,0,7,TRUE,-1, 39.wav,7.bmp,494,TRUE,1
1166,2,3,11,68,4+2+1,7,0,7,TRUE,-1, 40.wav,7.bmp,493,TRUE,1
1166,2,3,12,46,1+4+2,7,0,7,TRUE,-1, 41.wav,7.bmp,494,TRUE,1
1166,2,3,13,52,1+2+4,7,-4,11,FALSE,-1, 42.wav,11.bmp,574,TRUE,1
1166,2,3,14,53,2+4+1,7,-2,9,FALSE,-1, 43.wav,9.bmp,584,TRUE,1
1166,2,3,15,43,2+1+4,7,-4,11,FALSE,-1, 44.wav,11.bmp,544,TRUE,1
1166,2,3,16,48,4+1+2,7,-2,9,FALSE,-1, 45.wav,9.bmp,514,TRUE,1
1166,2,3,17,41,5+2+1,8,0,8,TRUE,-1, 46.wav,8.bmp,614,TRUE,1
1166,2,3,18,74,5+1+2,8,0,8,TRUE,-1, 47.wav,8.bmp,525,TRUE,1
1166,2,3,19,57,3+1+4,8,2,6,FALSE,-1, 48.wav,6.bmp,594,TRUE,1
1166,2,3,20,50,2+1+5,8,-4,12,FALSE,-1, 49.wav,12.bmp,484,TRUE,1
1166,2,3,21,66,1+5+2,8,0,8,TRUE,-1, 50.wav,8.bmp,563,TRUE,1
1166,2,3,22,51,1+4+3,8,0,8,TRUE,-1, 51.wav,8.bmp,584,TRUE,1
1166,2,3,23,67,1+2+5,8,2,6,FALSE,-1, 52.wav,6.bmp,565,TRUE,1
1166,2,3,24,83,3+4+1,8,-4,12,FALSE,-1, 53.wav,12.bmp,404,TRUE,1
1166,2,3,25,64,2+1+6,9,0,9,TRUE,-1, 54.wav,9.bmp,603,TRUE,1
1166,2,3,26,60,5+1+3,9,0,9,TRUE,-1, 55.wav,9.bmp,554,TRUE,1
1166,2,3,27,75,3+5+1,9,2,7,FALSE,-1, 56.wav,7.bmp,483,TRUE,1
1166,2,3,28,31,1+5+3,9,-4,13,FALSE,-1, 57.wav,13.bmp,494,TRUE,1
1166,2,3,29,70,1+6+2,9,0,9,TRUE,-1, 58.wav,9.bmp,564,TRUE,1
1166,2,3,30,82,3+2+4,9,0,9,TRUE,-1, 59.wav,9.bmp,594,TRUE,1
1166,2,3,31,90,1+3+5,9,2,7,FALSE,-1, 60.wav,7.bmp,633,TRUE,1
1166,2,3,32,55,1+2+6,9,-4,13,FALSE,-1, 61.wav,13.bmp,544,TRUE,1
1166,2,3,33,37,3+5+2,10,0,10,TRUE,-1, 62.wav,10.bmp,544,TRUE,1
1166,2,3,34,30,1+2+7,10,0,10,TRUE,-1, 63.wav,10.bmp,574,TRUE,1
1166,2,3,35,76,3+6+1,10,-2,12,FALSE,-1, 64.wav,12.bmp,575,TRUE,1
1166,2,3,36,58,2+1+7,10,4,6,FALSE,-1, 65.wav,6.bmp,534,TRUE,1
1166,2,3,37,87,7+2+1,10,0,10,TRUE,-1, 66.wav,10.bmp,603,TRUE,1
1166,2,3,38,65,1+5+4,10,0,10,TRUE,-1, 67.wav,10.bmp,605,TRUE,1
1166,2,3,39,44,6+3+1,10,-2,12,FALSE,-1, 68.wav,12.bmp,484,TRUE,1
1166,2,3,40,40,2+5+3,10,4,6,FALSE,-1, 69.wav,6.bmp,614,TRUE,1
1166,2,3,41,78,6+4+1,11,0,11,TRUE,-1, 70.wav,11.bmp,544,TRUE,1
1166,2,3,42,34,4+1+6,11,0,11,TRUE,-1, 71.wav,11.bmp,494,TRUE,1
1166,2,3,43,38,1+4+6,11,-2,13,FALSE,-1, 72.wav,13.bmp,614,TRUE,1
1166,2,3,44,63,3+6+2,11,4,7,FALSE,-1, 73.wav,7.bmp,544,TRUE,1
1166,2,3,45,72,2+6+3,11,0,11,TRUE,-1, 74.wav,11.bmp,474,TRUE,1
