Subj,Cond,Block,Trial,Order,prim,real result,distance,target,congruent,Resp,Name,Stim,RT,Correct,
1145,2,1,1,16,x,x,,1+3+7,x,-1, 5.wav,1+3+7e.bmp,1113,TRUE,
1145,2,1,2,19,x,x,,5+2+3,x,-1, 6.wav,5+2+3e.bmp,1353,TRUE,
1145,2,1,3,11,x,x,,4+1+3,x,-1, 7.wav,4+1+3e.bmp,1423,TRUE,
1145,2,1,4,96,x,x,,6+3+4,x,-1, 8.wav,6+3+4e.bmp,6914,TRUE,
1145,2,1,0,9,x,x,,x,inst,1,1,fin.bmp,11597,TRUE,
1145,2,1,0,10,x,x,,x,inst,1,1,getready.bmp,4048,TRUE,
1145,2,1,5,21,x,x,,7+2+5,x,-1, 11.wav,7+2+5e.bmp,1314,TRUE,
1145,2,1,6,15,x,x,,3+2+7,x,-1, 12.wav,3+2+7e.bmp,144,TRUE,
1145,2,1,7,14,x,x,,2+3+4,x,-1, 13.wav,2+3+4e.bmp,1604,TRUE,
1145,2,1,8,13,x,x,,8+1+2,x,-1, 14.wav,8+1+2e.bmp,1563,TRUE,
1145,2,1,9,98,x,x,,6+3+2,x,-1, 15.wav,6+3+2e.bmp,1234,TRUE,
1145,2,1,10,7,x,x,,2+9+1,x,-1, 16.wav,2+9+1e.bmp,984,TRUE,
1145,2,1,11,6,x,x,,2+4+6,x,-1, 17.wav,2+4+6e.bmp,3314,TRUE,
1145,2,1,12,12,x,x,,6+2+1,x,-1, 18.wav,6+2+1e.bmp,1894,TRUE,
1145,2,1,13,100,x,x,,4+1+5,x,-1, 19.wav,4+1+5e.bmp,2173,TRUE,
1145,2,1,14,97,x,x,,5+3+2,x,-1, 20.wav,5+3+2e.bmp,1304,TRUE,
1145,2,1,15,18,x,x,,4+3+6,x,-1, 21.wav,4+3+6e.bmp,935,TRUE,
1145,2,1,0,22,x,x,,x,inst,1,1,fin.bmp,36550,TRUE,
1145,2,2,0,23,x,x,,x,inst,1,1,getready.bmp,1989,TRUE,
1145,2,2,1,25,x,x,,x,x,-1, 24.wav,1.bmp,634,TRUE,
1145,2,2,2,24,x,x,,x,x,-1, 25.wav,5.bmp,664,TRUE,
1145,2,2,3,26,x,x,,x,x,-1, 26.wav,9.bmp,764,TRUE,
1145,2,2,4,27,x,x,,x,x,-1, 27.wav,13.bmp,604,TRUE,
1145,2,2,0,28,x,x,,x,inst,1,1,fin.bmp,4082,TRUE,
1145,2,3,0,29,x,x,,x,inst,1,1,getready.bmp,2754,TRUE,
1145,2,3,1,83,1+3+2,6,0,6,TRUE,-1, 30.wav,6.bmp,914,TRUE,1
1145,2,3,2,91,1+2+3,6,0,6,TRUE,-1, 31.wav,6.bmp,6303,TRUE,1
1145,2,3,3,41,1+3+2,6,0,6,TRUE,-1, 32.wav,6.bmp,834,TRUE,1
1145,2,3,4,85,1+2+3,6,0,6,TRUE,-1, 33.wav,6.bmp,664,TRUE,1
1145,2,3,5,46,2+1+3,6,-2,8,FALSE,-1, 34.wav,8.bmp,734,TRUE,1
1145,2,3,6,37,3+2+1,6,-4,10,FALSE,-1, 35.wav,10.bmp,683,TRUE,1
1145,2,3,7,44,2+3+1,6,-2,8,FALSE,-1, 36.wav,8.bmp,754,TRUE,1
1145,2,3,8,74,3+1+2,6,-4,10,FALSE,-1, 37.wav,10.bmp,705,TRUE,1
1145,2,3,9,68,4+2+1,7,0,7,TRUE,-1, 38.wav,7.bmp,614,TRUE,1
1145,2,3,10,38,1+4+2,7,0,7,TRUE,-1, 39.wav,7.bmp,704,TRUE,1
1145,2,3,11,56,4+2+1,7,0,7,TRUE,-1, 40.wav,7.bmp,13514,TRUE,1
1145,2,3,12,30,1+4+2,7,0,7,TRUE,-1, 41.wav,7.bmp,674,TRUE,1
1145,2,3,13,66,1+2+4,7,-4,11,FALSE,-1, 42.wav,11.bmp,624,TRUE,1
1145,2,3,14,65,2+4+1,7,-2,9,FALSE,-1, 43.wav,9.bmp,715,TRUE,1
1145,2,3,15,63,2+1+4,7,-4,11,FALSE,-1, 44.wav,11.bmp,564,TRUE,1
1145,2,3,16,78,4+1+2,7,-2,9,FALSE,-1, 45.wav,9.bmp,744,TRUE,1
1145,2,3,17,92,5+2+1,8,0,8,TRUE,-1, 46.wav,8.bmp,764,TRUE,1
1145,2,3,18,72,5+1+2,8,0,8,TRUE,-1, 47.wav,8.bmp,664,TRUE,1
1145,2,3,19,69,3+1+4,8,2,6,FALSE,-1, 48.wav,6.bmp,744,TRUE,1
1145,2,3,20,64,2+1+5,8,-4,12,FALSE,-1, 49.wav,12.bmp,7154,TRUE,1
1145,2,3,21,67,1+5+2,8,0,8,TRUE,-1, 50.wav,8.bmp,653,TRUE,1
1145,2,3,22,81,1+4+3,8,0,8,TRUE,-1, 51.wav,8.bmp,695,TRUE,1
1145,2,3,23,50,1+2+5,8,2,6,FALSE,-1, 52.wav,6.bmp,16024,TRUE,1
1145,2,3,24,57,3+4+1,8,-4,12,FALSE,-1, 53.wav,12.bmp,654,TRUE,1
1145,2,3,25,52,2+1+6,9,0,9,TRUE,-1, 54.wav,9.bmp,664,TRUE,1
1145,2,3,26,43,5+1+3,9,0,9,TRUE,-1, 55.wav,9.bmp,764,TRUE,1
1145,2,3,27,70,3+5+1,9,2,7,FALSE,-1, 56.wav,7.bmp,754,TRUE,1
1145,2,3,28,49,1+5+3,9,-4,13,FALSE,-1, 57.wav,13.bmp,763,TRUE,1
1145,2,3,29,86,1+6+2,9,0,9,TRUE,-1, 58.wav,9.bmp,664,TRUE,1
1145,2,3,30,79,3+2+4,9,0,9,TRUE,-1, 59.wav,9.bmp,624,TRUE,1
1145,2,3,31,89,1+3+5,9,2,7,FALSE,-1, 60.wav,7.bmp,683,TRUE,1
1145,2,3,32,59,1+2+6,9,-4,13,FALSE,-1, 61.wav,13.bmp,534,TRUE,1
1145,2,3,33,45,3+5+2,10,0,10,TRUE,-1, 62.wav,10.bmp,764,TRUE,1
1145,2,3,34,58,1+2+7,10,0,10,TRUE,-1, 63.wav,10.bmp,664,TRUE,1
1145,2,3,35,77,3+6+1,10,-2,12,FALSE,-1, 64.wav,12.bmp,11443,TRUE,1
1145,2,3,36,73,2+1+7,10,4,6,FALSE,-1, 65.wav,6.bmp,6155,TRUE,1
1145,2,3,37,35,7+2+1,10,0,10,TRUE,-1, 66.wav,10.bmp,654,TRUE,1
1145,2,3,38,93,1+5+4,10,0,10,TRUE,-1, 67.wav,10.bmp,624,TRUE,1
1145,2,3,39,80,6+3+1,10,-2,12,FALSE,-1, 68.wav,12.bmp,723,TRUE,1
1145,2,3,40,82,2+5+3,10,4,6,FALSE,-1, 69.wav,6.bmp,643,TRUE,1
1145,2,3,41,88,6+4+1,11,0,11,TRUE,-1, 70.wav,11.bmp,694,TRUE,1
1145,2,3,42,34,4+1+6,11,0,11,TRUE,-1, 71.wav,11.bmp,674,TRUE,1
1145,2,3,43,87,1+4+6,11,-2,13,FALSE,-1, 72.wav,13.bmp,894,TRUE,1
1145,2,3,44,33,3+6+2,11,4,7,FALSE,-1, 73.wav,7.bmp,824,TRUE,1
1145,2,3,45,39,2+6+3,11,0,11,TRUE,-1, 74.wav,11.bmp,754,TRUE,1
1145,2,3,46,32,6+1+4,11,0,11,TRUE,-1, 75.wav,11.bmp,564,TRUE,1
1145,2,3,47,76,4+6+1,11,-2,13,FALSE,-1, 76.wav,13.bmp,744,TRUE,1
1145,2,3,48,60,2+8+1,11,4,7,FALSE,-1, 77.wav,7.bmp,10023,TRUE,1
1145,2,3,49,62,1+9+2,12,0,12,TRUE,-1, 78.wav,12.bmp,574,TRUE,1
1145,2,3,50,31,5+6+1,12,0,12,TRUE,-1, 79.wav,12.bmp,604,TRUE,1
1145,2,3,51,84,8+1+3,12,2,10,FALSE,-1, 80.wav,10.bmp,604,TRUE,1
1145,2,3,52,48,3+8+1,12,0,12,TRUE,-1, 81.wav,12.bmp,814,TRUE,1
1145,2,3,53,51,9+2+1,12,0,12,TRUE,-1, 82.wav,12.bmp,834,TRUE,1
1145,2,3,54,42,7+2+3,12,4,8,FALSE,-1, 83.wav,8.bmp,754,TRUE,1
1145,2,3,55,90,4+3+5,12,2,10,FALSE,-1, 84.wav,10.bmp,614,TRUE,1
1145,2,3,56,71,9+1+2,12,4,8,FALSE,-1, 85.wav,8.bmp,664,TRUE,1
1145,2,3,57,54,5+6+2,13,0,13,TRUE,-1, 86.wav,13.bmp,894,TRUE,1
1145,2,3,58,40,1+7+5,13,0,13,TRUE,-1, 87.wav,13.bmp,684,TRUE,1
1145,2,3,59,75,4+6+3,13,2,11,FALSE,-1, 88.wav,11.bmp,673,TRUE,1
1145,2,3,60,61,3+8+2,13,4,9,FALSE,-1, 89.wav,9.bmp,704,TRUE,1
