Subj,Cond,Block,Trial,Order,prim,real result,distance,target,congruent,Resp,Name,Stim,RT,Correct,
1173,2,1,1,96,x,x,,1+3+7,x,-1, 5.wav,1+3+7e.bmp,3964,TRUE,
1173,2,1,2,98,x,x,,5+2+3,x,-1, 6.wav,5+2+3e.bmp,2654,TRUE,
1173,2,1,3,16,x,x,,4+1+3,x,-1, 7.wav,4+1+3e.bmp,1874,TRUE,
1173,2,1,4,99,x,x,,6+3+4,x,-1, 8.wav,6+3+4e.bmp,3044,TRUE,
1173,2,1,0,9,x,x,,x,inst,1,1,fin.bmp,33111,TRUE,
1173,2,1,0,10,x,x,,x,inst,1,1,getready.bmp,1380,TRUE,
1173,2,1,5,20,x,x,,7+2+5,x,-1, 11.wav,7+2+5e.bmp,1124,TRUE,
1173,2,1,6,11,x,x,,3+2+7,x,-1, 12.wav,3+2+7e.bmp,5823,TRUE,
1173,2,1,7,12,x,x,,2+3+4,x,-1, 13.wav,2+3+4e.bmp,2954,TRUE,
1173,2,1,8,7,x,x,,8+1+2,x,-1, 14.wav,8+1+2e.bmp,974,TRUE,
1173,2,1,9,97,x,x,,6+3+2,x,-1, 15.wav,6+3+2e.bmp,4105,TRUE,
1173,2,1,10,14,x,x,,2+9+1,x,-1, 16.wav,2+9+1e.bmp,5724,TRUE,
1173,2,1,11,100,x,x,,2+4+6,x,-1, 17.wav,2+4+6e.bmp,2264,TRUE,
1173,2,1,12,8,x,x,,6+2+1,x,-1, 18.wav,6+2+1e.bmp,3405,TRUE,
1173,2,1,13,15,x,x,,4+1+5,x,-1, 19.wav,4+1+5e.bmp,2345,TRUE,
1173,2,1,14,19,x,x,,5+3+2,x,-1, 20.wav,5+3+2e.bmp,4743,TRUE,
1173,2,1,15,21,x,x,,4+3+6,x,-1, 21.wav,4+3+6e.bmp,3525,TRUE,
1173,2,1,0,22,x,x,,x,inst,1,1,fin.bmp,55660,TRUE,
1173,2,2,0,23,x,x,,x,inst,1,1,getready.bmp,1602,TRUE,
1173,2,2,1,26,x,x,,x,x,-1, 24.wav,1.bmp,763,TRUE,
1173,2,2,2,25,x,x,,x,x,-1, 25.wav,5.bmp,944,TRUE,
1173,2,2,3,27,x,x,,x,x,-1, 26.wav,9.bmp,2635,TRUE,
1173,2,2,4,24,x,x,,x,x,-1, 27.wav,13.bmp,1434,TRUE,
1173,2,2,0,28,x,x,,x,inst,1,1,fin.bmp,8327,TRUE,
1173,2,3,0,29,x,x,,x,inst,1,1,getready.bmp,889,TRUE,
1173,2,3,1,74,1+3+2,6,0,6,TRUE,-1, 30.wav,6.bmp,984,TRUE,1
1173,2,3,2,93,1+2+3,6,0,6,TRUE,-1, 31.wav,6.bmp,3383,TRUE,0
1173,2,3,3,50,1+3+2,6,0,6,TRUE,-1, 32.wav,6.bmp,2434,TRUE,1
1173,2,3,4,40,1+2+3,6,0,6,TRUE,-1, 33.wav,6.bmp,4565,TRUE,0
1173,2,3,5,91,2+1+3,6,-2,8,FALSE,-1, 34.wav,8.bmp,1515,TRUE,1
1173,2,3,6,71,3+2+1,6,-4,10,FALSE,-1, 35.wav,10.bmp,1084,TRUE,1
