Subj,Cond,Block,Trial,Order,prim,real result,distance,target,congruent,Resp,Name,Stim,RT,Correct,
1160,2,1,1,8,x,x,,1+3+7,x,-1, 5.wav,1+3+7e.bmp,1323,TRUE,
1160,2,1,2,20,x,x,,5+2+3,x,-1, 6.wav,5+2+3e.bmp,1644,TRUE,
1160,2,1,3,5,x,x,,4+1+3,x,-1, 7.wav,4+1+3e.bmp,1345,TRUE,
1160,2,1,4,97,x,x,,6+3+4,x,-1, 8.wav,6+3+4e.bmp,1264,TRUE,
1160,2,1,0,9,x,x,,x,inst,1,1,fin.bmp,7177,TRUE,
1160,2,1,0,10,x,x,,x,inst,1,1,getready.bmp,2314,TRUE,
1160,2,1,5,15,x,x,,7+2+5,x,-1, 11.wav,7+2+5e.bmp,1664,TRUE,
1160,2,1,6,21,x,x,,3+2+7,x,-1, 12.wav,3+2+7e.bmp,2023,TRUE,
1160,2,1,7,99,x,x,,2+3+4,x,-1, 13.wav,2+3+4e.bmp,1364,TRUE,
1160,2,1,8,96,x,x,,8+1+2,x,-1, 14.wav,8+1+2e.bmp,1684,TRUE,
1160,2,1,9,6,x,x,,6+3+2,x,-1, 15.wav,6+3+2e.bmp,1114,TRUE,
1160,2,1,10,14,x,x,,2+9+1,x,-1, 16.wav,2+9+1e.bmp,1433,TRUE,
1160,2,1,11,12,x,x,,2+4+6,x,-1, 17.wav,2+4+6e.bmp,1034,TRUE,
1160,2,1,12,7,x,x,,6+2+1,x,-1, 18.wav,6+2+1e.bmp,1923,TRUE,
1160,2,1,13,19,x,x,,4+1+5,x,-1, 19.wav,4+1+5e.bmp,974,TRUE,
1160,2,1,14,17,x,x,,5+3+2,x,-1, 20.wav,5+3+2e.bmp,1033,TRUE,
1160,2,1,15,98,x,x,,4+3+6,x,-1, 21.wav,4+3+6e.bmp,1044,TRUE,
1160,2,1,0,22,x,x,,x,inst,1,1,fin.bmp,25403,TRUE,
1160,2,2,0,23,x,x,,x,inst,1,1,getready.bmp,4099,TRUE,
1160,2,2,1,24,x,x,,x,x,-1, 24.wav,1.bmp,744,TRUE,
1160,2,2,2,26,x,x,,x,x,-1, 25.wav,5.bmp,765,TRUE,
1160,2,2,3,25,x,x,,x,x,-1, 26.wav,9.bmp,475,TRUE,
1160,2,2,4,27,x,x,,x,x,-1, 27.wav,13.bmp,484,TRUE,
1160,2,2,0,28,x,x,,x,inst,1,1,fin.bmp,3690,TRUE,
1160,2,3,0,29,x,x,,x,inst,1,1,getready.bmp,758,TRUE,
1160,2,3,1,57,1+3+2,6,0,6,TRUE,-1, 30.wav,6.bmp,505,TRUE,1
1160,2,3,2,52,1+2+3,6,0,6,TRUE,-1, 31.wav,6.bmp,474,TRUE,1
1160,2,3,3,64,1+3+2,6,0,6,TRUE,-1, 32.wav,6.bmp,574,TRUE,1
1160,2,3,4,40,1+2+3,6,0,6,TRUE,-1, 33.wav,6.bmp,524,TRUE,1
1160,2,3,5,30,2+1+3,6,-2,8,FALSE,-1, 34.wav,8.bmp,513,TRUE,1
1160,2,3,6,41,3+2+1,6,-4,10,FALSE,-1, 35.wav,10.bmp,514,TRUE,1
1160,2,3,7,84,2+3+1,6,-2,8,FALSE,-1, 36.wav,8.bmp,524,TRUE,1
1160,2,3,8,87,3+1+2,6,-4,10,FALSE,-1, 37.wav,10.bmp,553,TRUE,1
1160,2,3,9,68,4+2+1,7,0,7,TRUE,-1, 38.wav,7.bmp,533,TRUE,1
1160,2,3,10,36,1+4+2,7,0,7,TRUE,-1, 39.wav,7.bmp,614,TRUE,1
1160,2,3,11,79,4+2+1,7,0,7,TRUE,-1, 40.wav,7.bmp,483,TRUE,1
1160,2,3,12,67,1+4+2,7,0,7,TRUE,-1, 41.wav,7.bmp,544,TRUE,1
1160,2,3,13,80,1+2+4,7,-4,11,FALSE,-1, 42.wav,11.bmp,434,TRUE,1
1160,2,3,14,49,2+4+1,7,-2,9,FALSE,-1, 43.wav,9.bmp,434,TRUE,1
1160,2,3,15,47,2+1+4,7,-4,11,FALSE,-1, 44.wav,11.bmp,414,TRUE,1
1160,2,3,16,76,4+1+2,7,-2,9,FALSE,-1, 45.wav,9.bmp,425,TRUE,1
1160,2,3,17,92,5+2+1,8,0,8,TRUE,-1, 46.wav,8.bmp,514,TRUE,1
1160,2,3,18,93,5+1+2,8,0,8,TRUE,-1, 47.wav,8.bmp,514,TRUE,1
1160,2,3,19,60,3+1+4,8,2,6,FALSE,-1, 48.wav,6.bmp,584,TRUE,1
1160,2,3,20,90,2+1+5,8,-4,12,FALSE,-1, 49.wav,12.bmp,495,TRUE,1
1160,2,3,21,66,1+5+2,8,0,8,TRUE,-1, 50.wav,8.bmp,485,TRUE,1
