Subj,Cond,Block,Trial,Order,prim,real result,distance,target,congruent,Resp,Name,Stim,RT,Correct,
1086,2,1,1,18,x,x,,1+3+7,x,-1, 5.wav,1+3+7e.bmp,1103,TRUE,
1086,2,1,2,6,x,x,,5+2+3,x,-1, 6.wav,5+2+3e.bmp,1773,TRUE,
1086,2,1,3,13,x,x,,4+1+3,x,-1, 7.wav,4+1+3e.bmp,7364,TRUE,
1086,2,1,4,98,x,x,,6+3+4,x,-1, 8.wav,6+3+4e.bmp,1524,TRUE,
1086,2,1,0,9,x,x,,x,inst,1,1,fin.bmp,14012,TRUE,
1086,2,1,0,10,x,x,,x,inst,1,1,getready.bmp,475,TRUE,
1086,2,1,5,99,x,x,,7+2+5,x,-1, 11.wav,7+2+5e.bmp,2985,TRUE,
1086,2,1,6,11,x,x,,3+2+7,x,-1, 12.wav,3+2+7e.bmp,1805,TRUE,
1086,2,1,7,100,x,x,,2+3+4,x,-1, 13.wav,2+3+4e.bmp,2154,TRUE,
1086,2,1,8,19,x,x,,8+1+2,x,-1, 14.wav,8+1+2e.bmp,1964,TRUE,
1086,2,1,9,21,x,x,,6+3+2,x,-1, 15.wav,6+3+2e.bmp,2515,TRUE,
1086,2,1,10,17,x,x,,2+9+1,x,-1, 16.wav,2+9+1e.bmp,1544,TRUE,
1086,2,1,11,7,x,x,,2+4+6,x,-1, 17.wav,2+4+6e.bmp,1754,TRUE,
1086,2,1,12,97,x,x,,6+2+1,x,-1, 18.wav,6+2+1e.bmp,1454,TRUE,
1086,2,1,13,20,x,x,,4+1+5,x,-1, 19.wav,4+1+5e.bmp,1344,TRUE,
1086,2,1,14,8,x,x,,5+3+2,x,-1, 20.wav,5+3+2e.bmp,2063,TRUE,
1086,2,1,15,15,x,x,,4+3+6,x,-1, 21.wav,4+3+6e.bmp,1703,TRUE,
1086,2,1,0,22,x,x,,x,inst,1,1,fin.bmp,33290,TRUE,
1086,2,2,0,23,x,x,,x,inst,1,1,getready.bmp,635,TRUE,
1086,2,2,1,25,x,x,,x,x,-1, 24.wav,1.bmp,563,TRUE,
1086,2,2,2,24,x,x,,x,x,-1, 25.wav,5.bmp,784,TRUE,
1086,2,2,3,26,x,x,,x,x,-1, 26.wav,9.bmp,503,TRUE,
1086,2,2,4,27,x,x,,x,x,-1, 27.wav,13.bmp,603,TRUE,
1086,2,2,0,28,x,x,,x,inst,1,1,fin.bmp,5577,TRUE,
1086,2,3,0,29,x,x,,x,inst,1,1,getready.bmp,660,TRUE,
1086,2,3,1,45,1+3+2,6,0,6,TRUE,-1, 30.wav,6.bmp,3683,TRUE,1
1086,2,3,2,91,1+2+3,6,0,6,TRUE,-1, 31.wav,6.bmp,743,TRUE,1
1086,2,3,3,85,1+3+2,6,0,6,TRUE,-1, 32.wav,6.bmp,584,TRUE,1
1086,2,3,4,90,1+2+3,6,0,6,TRUE,-1, 33.wav,6.bmp,3324,TRUE,1
1086,2,3,5,64,2+1+3,6,-2,8,FALSE,-1, 34.wav,8.bmp,563,TRUE,1
